T,EV,AP,RH,EP
25.8005,60.6001,1014.4264,56.5547,437.0221
20.6473,53.2796,1016.0878,76.1238,445.7436
17.3262,51.7475,1019.4128,84.7399,463.1891
20.3145,57.2571,1003.8512,61.2806,455.5828
22.2643,71.7425,1022.3321,86.2425,443.7035
32.8275,80.6150,1004.8627,57.2291,424.4677
12.0049,40.7963,1015.7068,65.3994,469.1533
17.5084,49.6953,1008.2782,67.1193,463.4352
17.1849,52.1603,1012.0460,63.2276,460.7739
17.6852,46.1717,1017.0383,65.0550,467.2415
28.6614,66.5289,1020.2051,75.8991,432.2889
4.4192,21.9490,1022.2281,72.1760,488.5031
10.7300,37.3456,1021.0551,60.1304,473.9859
24.7135,58.6638,1004.5985,80.0267,439.0286
26.8142,70.5489,1010.8481,95.7350,432.8305
20.5240,61.8089,1011.3695,68.1878,454.1818
15.4065,51.3807,1010.9757,85.1757,460.8399
19.3694,46.9374,1005.0302,67.7197,459.4325
16.9919,51.6100,1014.0962,84.5664,453.3051
13.7181,46.8919,1016.2221,82.9171,462.7537
22.0676,55.5190,1020.0299,43.9314,459.7122
8.7718,27.3938,1006.7054,89.4459,479.1082
28.5116,62.8693,1011.8679,45.4181,435.9781
19.8700,61.6469,1012.9290,78.4985,448.4879
22.6603,59.6639,1010.0858,75.5516,449.0466
33.8186,72.0015,1020.1360,66.6701,426.3765
28.1821,75.7413,1011.9390,65.7130,426.0683
7.6607,29.6371,1023.1466,86.5847,484.3599
8.2118,40.8205,1025.1186,84.5365,475.6690
24.3496,59.5579,1008.9710,45.2583,454.2744
27.2339,66.4263,1007.3105,79.3491,434.8141
12.2474,36.6262,1009.3037,85.9612,466.1117
11.3510,40.8319,1013.0553,83.4302,466.8370
16.2502,38.7792,1008.4841,67.9915,458.1985
13.8707,33.7499,1017.5097,66.0529,473.9293
18.3012,51.4812,1007.3046,97.6581,454.8573
22.9587,52.7465,1007.2772,76.9765,449.4086
3.5968,23.7369,1021.7653,91.0136,492.8330
19.1017,56.9248,1021.8819,78.2000,447.9897
26.1880,49.7640,1011.9234,59.4115,442.1158
16.4967,50.4050,1017.9238,57.1106,467.9529
19.3279,55.5180,1003.5454,74.6553,450.1747
19.0766,64.3337,1001.8330,83.3012,451.9851
9.1018,39.8953,1019.5910,80.0061,482.6954
15.0189,46.2019,1023.6170,69.2692,455.4811
22.1549,50.3908,1010.6149,54.6060,453.0023
18.7942,53.0582,1017.7137,68.3908,464.0860
21.7921,55.6897,1012.4671,66.4903,456.2865
17.1400,52.5348,1017.0363,72.5908,462.5577
25.7756,65.2288,1019.1953,58.9294,452.9062
32.3692,64.0802,1003.0403,41.1325,421.7124
8.4217,35.9677,1015.8043,72.4485,482.4506
23.5653,66.1919,1009.1254,56.4107,438.4497
21.3996,69.3232,1021.4186,88.5782,448.2087
23.1279,56.3273,1008.2438,53.7465,444.9139
26.2861,72.8245,1005.7879,69.0851,432.3275
6.7027,38.1897,1022.6252,100.8146,478.9283
24.5529,67.6485,1010.2910,61.7311,441.2455
11.9393,47.6836,1017.5329,82.2275,479.5522
18.9599,51.0137,1010.3961,94.0219,451.8845
5.4751,35.3889,1019.7778,76.6847,488.1115
24.3156,58.8948,1004.6267,85.4359,439.9899
19.5123,47.5098,1013.6990,66.0927,460.6293
41.2342,86.8145,1002.7424,33.8929,397.7303
19.8243,54.3748,1015.0721,60.3174,452.2811
15.5918,58.4066,1009.7516,110.7574,460.0022
14.2522,48.7985,1014.0374,102.4559,463.2820
23.0354,56.1747,1017.9520,83.7548,444.5409
23.6765,61.7640,1021.1848,54.6047,456.6604
12.1756,47.5820,1017.0361,84.7282,466.5772
21.5497,50.9886,1013.3636,74.1655,441.4445
29.2378,68.0669,1015.4054,77.0075,431.6860
19.3240,52.8025,1013.1938,74.7400,460.7994
18.4329,37.5196,1009.3157,75.2972,461.0455
19.3786,43.0743,1016.1758,51.9146,447.2985
27.3598,71.0168,1016.5598,62.6042,435.7164
23.3119,47.6352,1016.6895,53.1404,454.2784
26.1692,68.6703,1005.0856,57.6879,440.9212
7.9181,35.0592,1012.0605,81.8156,481.8685
17.4195,50.2714,1017.2358,68.9306,458.8614
21.1071,48.3697,1016.1487,57.4569,447.3149
28.9902,60.4212,1014.6385,55.7413,446.5194
33.9528,69.0718,1001.9913,69.4219,427.1746
14.3627,32.2649,1021.7178,74.1889,474.1954
14.0556,56.1997,1012.6401,107.2995,456.6403
10.4622,39.5355,1015.8393,83.3912,482.8530
21.4753,59.4774,1018.7072,42.7839,453.1438
11.3274,48.3823,1011.0582,91.9862,474.8883
25.0523,62.5607,1009.7990,65.7132,438.1610
21.1909,58.9532,1019.1961,61.9163,449.9009
13.4589,47.2374,1018.0775,89.0835,456.8841
16.8886,50.1832,1025.1043,51.3822,457.9698
7.9983,36.6285,1016.4836,95.3846,478.7733
29.3223,72.1378,1008.7938,68.4206,427.3123
19.5077,49.6024,1003.1519,67.4116,465.2749
15.3847,52.3409,1011.4703,68.2745,468.2533
23.9999,60.2857,1013.2970,66.3138,438.4872
15.3757,50.9787,1010.3445,52.9194,458.0036
25.2823,63.5286,1005.7371,66.7382,443.3609
27.5269,66.9022,1003.6005,73.7977,438.9557
7.5631,39.1785,1021.9177,72.3203,480.6240
11.3574,42.2038,1008.2696,104.6013,462.8728
1.5877,29.4673,1020.0366,110.6407,485.2514
12.0736,42.3132,1020.3616,79.7443,476.8028
32.0138,65.0983,1017.7211,34.5822,432.0335
25.0233,62.6932,1006.1847,94.4016,439.1185
17.4292,43.2922,1014.4134,87.4945,458.6299
30.9936,62.1695,1009.9619,74.7377,438.5932
19.3065,51.7096,1014.5593,58.4511,461.6059
25.1098,66.9088,1008.8831,74.5664,442.5563
8.0141,32.2806,1013.0516,91.7104,485.7285
18.6200,71.1683,1018.3048,88.0510,451.7101
26.7426,55.3695,1008.7626,49.5452,437.5032
29.5699,71.0967,1011.4995,65.7994,434.8760
18.0202,50.2410,1009.1017,89.7517,456.3533
20.9376,58.9733,1005.3595,85.8766,444.3865
26.1695,58.9347,1019.4457,58.1433,447.4605
17.2890,41.5466,1022.2655,85.7065,456.8700
11.6448,32.1364,1008.3653,87.6502,473.5427
17.2077,57.4858,1017.5733,76.7421,458.6347
19.1336,48.9668,1005.6045,79.7206,451.9940
15.1436,45.1246,1021.0735,74.4313,467.7768
19.2788,47.9476,1008.5430,77.8831,453.8559
18.8522,57.8990,1010.4677,82.2593,460.2875
29.7317,86.7668,1007.6161,73.1908,428.4183
15.2664,52.2843,1017.8607,79.2300,468.2399
13.3483,37.0380,1017.6770,81.6326,479.9850
12.3938,40.1314,1014.5893,72.7124,467.2784
24.1380,63.9915,1010.6592,81.9964,447.2170
18.9330,59.2952,1020.6258,72.8295,449.1666
17.7540,59.0428,1016.7375,94.8327,450.5563
13.2092,51.8488,1015.6621,94.7389,453.4957
25.8774,59.6140,1006.9005,86.8212,436.4262
19.7681,53.7062,1007.5521,81.2261,458.5777
20.1112,50.0161,1020.4546,65.7513,468.4389
25.9686,63.7942,1022.5613,62.3405,448.2058
21.2600,63.2371,1010.7700,70.5095,448.5746
30.2538,63.8460,1007.2358,55.1419,436.0144
22.7323,49.5485,1028.5358,51.8078,447.8605
17.1703,54.4964,1007.3671,96.3216,460.4174
22.7147,57.7303,1012.0203,76.9060,444.8159
22.2327,64.4607,1004.0332,58.0209,442.0787
18.9503,55.0622,1008.5061,72.0280,460.8431
24.3131,55.3054,1012.8725,63.6336,441.2333
31.1373,76.1659,1012.4982,82.9457,423.8254
21.7210,56.5891,1010.3893,67.6785,456.4867
19.7674,67.8689,1009.9557,98.7224,447.6025
22.7710,53.3675,1012.2204,80.7741,444.4929
29.9721,67.8269,1002.6607,53.8702,425.7147
10.8749,39.4229,1011.1100,84.8636,466.5018
36.5876,80.2632,1005.4884,64.2195,409.2678
12.6588,33.4937,1013.1518,70.2095,481.4719
4.0393,37.6760,1017.5137,94.8981,488.7521
6.0404,39.1666,1021.2491,98.2329,483.3156
28.2159,58.4989,1008.3794,79.3625,436.4813
18.2176,46.0571,1007.8543,55.7418,463.8668
23.5303,59.2130,1008.0494,65.1355,449.2059
11.0578,39.5664,1021.4426,80.7355,480.1713
11.1275,30.7528,1006.0186,75.0286,477.8765
28.9526,75.0348,1007.2096,63.0609,433.2717
14.0664,48.1637,1006.8970,88.6836,466.6212
21.3233,63.2901,1008.0263,89.2834,443.3848
25.5404,58.4778,1018.8242,55.6353,449.7130
21.9934,56.3451,1006.7475,82.4695,437.8953
11.4052,41.7478,1019.6303,73.2647,474.4712
27.8551,64.8698,1005.8035,43.2497,439.6485
8.1596,44.7176,1013.0358,81.2354,483.0176
16.9871,48.8792,1015.6571,86.7166,459.3849
3.5144,37.5642,1019.9346,93.1064,491.6990
21.0674,63.2118,1012.0983,65.0611,448.2793
21.0141,61.0213,1005.5944,85.0203,453.3925
19.5714,53.7365,1003.8921,83.3218,450.1939
13.8963,50.3503,1011.8018,100.3853,463.2371
26.6916,67.7030,1005.7650,71.3448,435.7065
29.4902,64.2895,1020.7384,62.3005,435.6208
24.0746,73.3929,1012.9823,89.8159,434.0557
21.9980,65.9365,1019.7863,71.8521,445.1986
2.6335,39.9186,1033.8250,95.3431,490.8300
18.3973,58.1190,1009.8577,75.4868,459.0944
17.3605,51.4513,1010.7603,77.2806,459.8725
30.2820,65.9406,1007.0865,74.6849,429.7289
22.0984,59.3631,1009.1830,81.3832,444.5475
25.3211,67.8281,1005.6157,67.0178,438.4481
14.8719,43.4093,1014.5401,70.6469,464.7884
18.6034,57.8796,1010.8608,75.3299,456.9283
5.3261,28.7428,1015.1373,82.2377,485.8864
10.5352,54.0250,1010.8975,97.3872,470.5884
21.8623,55.9105,1015.2239,49.5446,451.1751
24.8680,71.4132,1011.6066,74.2431,440.3709
21.7005,52.9597,1004.5103,84.3084,445.0772
19.7916,61.5443,1014.3901,90.2325,453.6159
32.9671,69.1854,1001.1235,56.1594,424.8477
27.9965,70.9215,1003.8796,60.4376,437.1427
20.5917,60.3737,1013.2621,89.5580,440.4933
14.5629,39.8022,1016.7755,57.8020,468.0666
11.8346,43.3592,1024.0994,100.1682,465.5617
26.9293,72.7538,1011.3428,71.7441,435.3471
15.4380,38.5400,1013.3011,82.6367,467.4580
20.6664,49.8954,1014.6824,85.8619,451.6236
20.4296,39.0941,1005.6526,57.6298,459.0135
29.0567,67.4033,1007.1041,71.7223,440.4500
16.0400,49.0608,1011.4389,87.5050,462.3862
22.2835,51.9445,1001.2317,63.7909,451.2231
22.0214,50.0644,1018.0170,65.5558,455.8073
13.7903,47.9066,1017.4294,76.9895,462.2868
13.7242,31.1768,1017.7438,64.2551,476.5777
29.1005,63.6117,1005.7892,62.4000,434.6362
14.0561,41.5043,1018.5413,76.2896,462.4804
29.5582,60.9494,1001.8275,37.8316,431.0138
17.9547,50.0505,1014.8433,83.3117,451.2267
9.3899,53.0586,1028.6739,89.3992,470.0126
23.0831,62.5983,1007.8597,71.6938,447.2356
12.5831,48.9118,1021.0884,97.1283,463.8421
18.8581,54.8478,1023.1825,82.3798,449.8581
20.2237,55.2000,1011.2441,84.6475,455.1472
31.0860,68.1847,999.3167,64.6639,432.8576
19.7041,53.9448,1007.3707,70.3323,455.9667
11.9646,31.8410,1022.0354,70.5057,464.7499
12.4332,48.2298,1029.3284,70.0905,464.9903
22.3117,58.0876,1012.1064,69.9199,449.8931
24.9074,60.2943,1022.1480,54.5920,438.3954
9.7733,32.3243,1024.1539,74.2912,480.0711
22.8114,50.8842,1016.3348,60.9948,453.1103
19.5573,51.5331,1005.8474,69.4319,460.3735
25.7688,62.9965,1017.4968,62.4004,445.3850
21.1395,48.4113,1008.9548,68.9654,455.0818
16.4211,47.3288,1022.7814,81.7056,463.5188
29.6084,75.2222,1010.8549,52.3197,437.6081
4.1245,44.3204,1017.7557,81.6379,486.6404
34.8711,81.5329,1014.9245,66.7305,420.9225
18.0187,59.2749,1016.2711,85.9192,466.4114
5.4373,29.7983,1019.4605,71.8256,494.8893
19.4203,51.0657,1009.8771,72.7150,455.7102
19.7565,55.5212,1018.3631,77.3493,452.3425
10.3753,27.6492,1022.4933,68.8346,477.7215
22.6515,58.0745,1009.6759,90.8404,442.1382
10.7159,25.7185,1012.9052,80.6086,477.5227
22.4778,62.3167,1011.0429,84.8936,440.8342
20.6768,56.5521,1005.1707,90.9486,444.0769
15.2759,43.6285,1021.4233,59.0461,465.6529
18.0924,45.1023,1008.3101,69.7428,457.4879
14.5198,46.0736,1018.6955,73.2955,463.5780
19.5705,52.9987,1018.2503,71.2340,458.7639
20.2102,50.1131,1015.7878,67.9629,450.9329
20.6480,57.8729,1011.6957,88.3991,450.6011
17.0784,45.4686,1013.8904,68.6233,456.0562
7.2655,32.1467,1020.3317,74.1359,483.7191
24.6520,57.7575,1010.8562,62.1757,444.2885
9.8194,43.4742,1014.2824,91.0890,471.8366
31.8134,69.6215,1012.1971,45.7082,426.4563
23.0190,64.1493,1006.1885,86.3706,442.5518
22.2578,61.6899,1015.5152,72.3071,452.1148
23.8830,60.6336,1002.8709,70.0900,442.8128
22.5140,58.4254,1016.7103,69.3133,451.9075
24.9314,68.9421,1016.9912,79.7504,435.6976
23.4792,62.1348,1005.0659,80.1606,443.7688
13.5393,41.7956,1021.8535,79.1071,465.1144
10.2663,46.3082,1025.0653,74.6392,477.8640
20.9491,60.5423,1010.7212,83.4757,450.1049
16.1715,40.9896,1009.3432,64.3298,457.8509
24.5457,62.2099,1018.0228,60.7748,444.2887
20.3758,59.0116,1016.7800,91.2010,449.8750
26.2283,56.7853,1012.9693,42.0983,445.1338
10.1739,40.7865,1024.8373,61.2310,475.1049
10.5457,34.7202,1023.2159,98.7393,479.8660
26.2286,51.8021,1006.7874,38.6053,446.5968
34.3335,77.7939,1015.7360,62.9364,423.9502
18.0315,63.7586,1012.1976,79.3247,452.3121
12.9025,44.3083,1005.1895,90.5621,459.2059
17.8021,45.0756,1012.7892,61.0872,453.3188
13.3420,38.2589,1012.2078,84.5514,467.6790
10.1386,46.9959,1021.5802,88.9583,469.4743
10.5279,34.8374,1023.1181,71.7428,476.5242
19.3174,47.3079,1014.8646,75.9314,457.4136
22.0823,58.9757,1010.3141,61.0501,451.5994
18.2938,55.8581,1013.2111,68.4487,461.5412
14.5412,42.0694,1027.4661,62.0807,463.4203
16.6816,42.2803,1010.2753,73.1698,464.4235
29.7989,62.7340,1016.4646,61.8021,435.2843
21.3283,51.1286,1011.8019,69.0450,464.5024
13.8884,30.3767,1014.2585,85.6984,469.5160
8.1865,32.4126,1009.4589,93.9209,478.3156
7.7265,40.3285,1016.7887,93.1951,472.8912
8.3582,26.1057,1017.4987,54.9111,479.0748
29.5997,75.5637,1013.9318,85.5421,425.9960
26.3461,63.0290,1004.9823,60.1761,448.1507
29.1571,60.0830,1001.6830,88.5801,432.3895
31.2015,63.2205,1003.6749,34.7339,437.2630
24.4797,62.1749,1014.7641,63.1414,444.7694
27.7713,72.3191,1000.0753,83.0273,436.7189
19.8276,54.5213,1016.8361,54.0965,450.5846
11.7555,38.9801,1016.7396,79.7897,467.5758
24.4662,65.4879,1003.5122,81.5912,440.9039
26.8324,71.6737,1010.2231,55.3142,434.0864
27.5216,52.3738,1012.5712,55.9105,442.7848
29.0741,74.0123,1000.7845,84.7780,425.4140
17.3884,52.4194,1014.8451,89.6227,457.0038
22.0861,54.9556,1017.4009,58.4318,452.2305
12.6949,49.4967,1020.1726,95.4729,462.2480
14.3661,45.1806,1011.4111,83.0851,467.5644
14.2261,47.5427,1012.1552,89.6015,465.0808
20.3662,50.4923,1015.9163,67.7965,456.4669
6.2194,39.0444,1017.4197,114.8165,479.1471
33.0128,74.9794,1006.6081,49.9055,419.8979
16.5015,56.8763,1021.4661,85.9724,456.7024
12.8421,39.2311,1006.8279,87.1193,475.9538
9.5986,40.9574,1022.6110,70.8732,477.0456
18.4198,49.2308,1023.7775,58.9824,457.8533
24.1999,52.6204,1014.1939,100.0888,441.8239
17.8485,44.9845,1013.3372,80.5498,467.0146
23.7592,60.3755,1007.7558,82.9895,443.0926
21.2323,61.6324,1011.2351,60.6919,438.7138
21.8378,63.8688,1010.8086,91.1772,449.8699
16.1772,26.6643,1007.2539,69.4780,480.5230
28.8647,69.3895,1010.6489,64.2413,437.8299
19.8780,55.5851,1013.5195,71.1892,452.7950
17.2220,51.4456,1011.5555,84.8174,457.5782
28.6269,67.1198,1012.7510,81.3881,432.7298
35.4832,83.0279,1014.4770,70.4542,416.7092
20.9361,49.8392,1010.8045,69.9531,456.9077
15.2685,47.4967,1017.9517,64.9464,465.5135
8.2889,48.9148,1013.9244,108.1764,475.6868
14.0925,38.6325,1017.8151,72.8072,465.4181
1.8361,32.6221,1018.7952,110.4974,491.4781
16.4591,66.5305,1018.3909,99.2975,455.0454
19.4410,53.4064,1020.8119,91.5293,452.2277
13.0423,39.6074,1016.5110,83.0262,465.3172
20.9409,63.3310,1015.2949,70.4730,455.9969
14.9403,47.6020,1009.1981,88.7816,465.1163
11.6396,54.5993,1014.0446,82.0728,466.9051
18.7692,54.5804,1011.5556,67.9330,452.6180
1.4247,24.9952,1018.1936,108.3856,487.7334
19.7785,49.0668,1010.2893,82.8800,450.2522
28.4752,58.1964,1007.0463,69.4398,428.3026
27.4529,64.4437,1002.2907,75.7829,442.3523
17.5976,54.6281,1008.0079,94.0253,458.2862
17.3083,54.9624,1010.9998,72.1589,459.3888
17.5885,55.8028,1015.5670,55.8469,460.2321
10.2227,41.3844,1019.3067,98.0342,464.6861
21.5708,51.7771,1009.1808,65.4733,454.3458
23.6347,62.5264,1004.3049,65.8657,440.5313
15.1663,41.2924,1019.1115,78.1900,470.1195
18.4583,74.1445,1002.6348,89.4143,446.9962
29.2923,76.0768,1012.5272,67.0716,438.7509
35.3937,71.4837,1004.7043,48.5867,418.6844
14.2481,43.5744,1002.4606,95.4418,468.4907
16.1210,37.5336,1015.8212,60.2047,467.7887
25.3821,54.9904,1012.7058,50.4558,451.8043
25.0022,67.5114,1019.9154,62.5792,448.0379
38.6422,87.4754,1007.4118,54.6677,418.2306
10.6400,45.0901,1013.5361,68.9716,474.9669
21.4381,59.9807,1007.8310,88.1372,451.7537
19.3974,52.3584,1013.4210,76.4952,451.5016
17.6817,40.9307,1008.3051,66.6871,462.7227
8.6008,37.5329,1015.1210,86.2326,479.0042
20.7927,52.6400,1010.0845,52.2887,454.2170
18.6060,45.9138,1004.5511,87.4024,461.3616
24.3877,69.4414,1010.3269,89.7724,432.0726
19.2080,58.1138,1019.9571,73.5188,460.4765
21.4570,57.8065,1008.6618,57.8383,448.5182
32.3931,64.9308,1006.1784,45.4600,435.0598
13.6384,29.7288,1013.4598,86.1452,474.7732
16.6317,54.0895,1017.7070,58.9946,464.7734
8.4814,38.5881,1020.5803,101.6660,474.0560
32.1209,62.8763,1009.2935,33.0355,428.0722
19.3862,64.3898,1016.7951,73.9600,458.7570
20.7392,53.5476,1012.2169,60.8919,450.4538
15.5147,48.8284,1010.2561,89.2596,463.5434
24.3121,53.6742,1014.0565,79.0621,448.5299
19.1943,51.2214,1019.9393,81.5171,456.7711
32.7921,79.5262,1002.3960,67.9864,425.1151
6.2059,39.1646,1015.0136,99.8826,485.9467
4.4037,36.2158,1024.8456,107.3948,475.5926
11.7859,40.2713,1017.2136,70.4172,476.1830
16.0601,48.3734,1014.0781,86.6920,464.3409
16.2226,53.0183,1014.5382,79.3073,463.5721
27.8664,74.9454,1011.1627,73.7461,434.0055
33.7254,73.6043,1006.1124,48.5484,426.1852
14.9026,34.7197,1015.0541,80.9626,460.7708
12.2084,46.6066,1016.0501,62.5815,470.5334
15.0331,50.2286,1014.4912,56.3712,467.4891
14.5889,40.3488,1023.2099,86.5390,465.2431
17.5439,42.6978,1017.0938,79.1532,455.4628
23.1135,61.0567,1009.7053,79.9682,450.1069
22.4186,46.8740,1009.1521,49.9879,460.9123
18.1562,53.2166,1017.4427,74.6285,454.0420
26.0068,70.4883,1018.6012,51.7242,434.7371
29.4829,72.4854,1011.6212,69.0989,430.8234
20.4896,67.2436,1011.5859,57.4667,461.3639
28.3603,71.0246,1007.4712,79.6493,431.3863
10.5795,48.6249,1022.4390,60.4181,471.3563
16.9583,52.8206,1015.1875,87.9046,449.5467
26.7737,64.6402,1014.8159,45.3007,439.8441
27.6683,71.0696,1000.9633,86.9423,424.5735
16.1280,52.2081,1009.0910,92.8533,462.7786
12.1871,50.9955,1015.4994,69.6714,464.6226
21.2894,64.7472,1015.0535,76.3955,447.5961
7.6092,27.4634,1028.1256,82.4459,484.0875
26.5782,64.0070,1002.0356,59.1445,434.7612
17.3177,49.6346,1012.3696,89.0911,466.3088
26.7506,55.4278,1018.9223,53.7578,439.4852
22.6269,66.7218,1015.6064,93.9884,438.5240
23.2517,58.5642,1008.0353,64.6774,446.2890
17.9244,47.2527,1024.2180,64.6155,457.5201
18.7327,63.1283,1012.4738,80.4381,448.4077
10.9422,48.4954,1009.2849,83.3838,470.9725
11.3111,40.1080,1025.9495,84.4951,475.1218
33.4944,75.1404,1001.9349,62.0391,426.0054
17.5693,55.8507,1019.4225,75.0230,452.4543
12.9309,44.4393,1019.1757,80.4543,469.3021
14.0824,46.2496,1012.8974,62.4448,473.3319
