ss_sold_date_sk,ss_sold_time_sk,ss_item_sk,ss_customer_sk,ss_cdemo_sk,ss_hdemo_sk,ss_addr_sk,ss_store_sk,ss_promo_sk,ss_ticket_number,ss_quantity,ss_wholesale_cost,ss_list_price,ss_sales_price,ss_ext_discount_amt,ss_ext_sales_price,ss_ext_wholesale_cost,ss_ext_list_price,ss_ext_tax,ss_coupon_amt,ss_net_paid,ss_net_paid_inc_tax,ss_net_profit
2451542,51126,16834,47915,1382064,3860,41656,4,232,105684,92,22.69,28.81,1.15,0.00,105.80,2087.48,2650.52,2.11,0.00,105.80,107.91,-1981.68
2451831,44875,12403,1838,1546067,696,36525,7,108,206576,96,30.35,53.71,12.35,0.00,1185.60,2913.60,5156.16,11.85,0.00,1185.60,1197.45,-1728.00
2451868,31758,8366,12736,804002,4421,21287,2,114,32205,42,58.28,82.75,71.99,0.00,3023.58,2447.76,3475.50,241.88,0.00,3023.58,3265.46,575.82
2451485,52056,7172,45469,169378,934,24490,8,287,15697,85,74.89,86.12,14.64,0.00,1244.40,6365.65,7320.20,49.77,0.00,1244.40,1294.17,-5121.25
2451909,,17239,57343,,,,4,,218805,72,,,25.58,0.00,,,4284.72,,0.00,,1933.84,
2451666,34731,6317,41629,1043550,224,545,4,133,162057,82,43.64,45.82,21.07,0.00,1727.74,3578.48,3757.24,51.83,0.00,1727.74,1779.57,-1850.74
2452495,47618,14358,192,1422293,5994,31295,7,94,141853,21,48.10,71.18,16.37,0.00,343.77,1010.10,1494.78,20.62,0.00,343.77,364.39,-666.33
2451910,61225,6920,36602,1743448,247,29093,10,252,118509,31,23.08,35.77,30.04,0.00,931.24,715.48,1108.87,65.18,0.00,931.24,996.42,215.76
2451156,32752,11947,30317,1293668,2172,23876,10,167,122356,55,79.16,110.82,25.48,0.00,1401.40,4353.80,6095.10,84.08,0.00,1401.40,1485.48,-2952.40
2451292,31328,14512,88612,583230,7001,12819,10,45,194687,50,41.48,55.58,12.22,0.00,611.00,2074.00,2779.00,54.99,0.00,611.00,665.99,-1463.00
2451799,51254,9179,67451,967065,632,48999,2,250,183462,75,60.46,94.31,94.31,0.00,7073.25,4534.50,7073.25,565.86,0.00,7073.25,7639.11,2538.75
2451441,38796,6478,25728,1639815,6702,29589,7,126,132148,72,46.29,46.75,0.00,0.00,0.00,3332.88,3366.00,0.00,0.00,0.00,0.00,-3332.88
2451797,30901,3098,83879,373461,996,30931,10,98,197896,75,62.54,95.68,83.24,0.00,6243.00,4690.50,7176.00,124.86,0.00,6243.00,6367.86,1552.50
2451379,54294,763,58664,954747,3630,43266,4,6,128849,87,68.11,100.80,89.71,0.00,7804.77,5925.57,8769.60,156.09,0.00,7804.77,7960.86,1879.20
2451872,34497,9929,93748,725029,5463,47944,2,103,174030,18,29.45,50.65,19.75,0.00,355.50,530.10,911.70,31.99,0.00,355.50,387.49,-174.60
2451223,53318,6460,80117,48521,6878,31235,2,153,59406,90,90.81,134.39,38.97,0.00,3507.30,8172.90,12095.10,105.21,0.00,3507.30,3612.51,-4665.60
2451903,69126,16037,73484,1102470,609,17995,7,200,45924,77,94.73,118.41,50.91,0.00,3920.07,7294.21,9117.57,0.00,0.00,3920.07,3920.07,-3374.14
2452134,43995,15533,30484,1580695,506,46317,10,152,142679,69,66.86,79.56,75.58,0.00,5215.02,4613.34,5489.64,260.75,0.00,5215.02,5475.77,601.68
2452493,35447,17491,9019,1616108,1244,47980,4,209,112672,47,56.25,97.31,7.78,0.00,365.66,2643.75,4573.57,29.25,0.00,365.66,394.91,-2278.09
2452601,39383,4905,7957,1854262,6167,30872,7,187,30502,68,33.40,56.11,49.37,0.00,3357.16,2271.20,3815.48,302.14,0.00,3357.16,3659.30,1085.96
2451820,60132,7403,80321,1136008,3695,30535,7,294,181717,76,39.09,51.20,7.16,0.00,544.16,2970.84,3891.20,43.53,0.00,544.16,587.69,-2426.68
2451877,65160,3263,85656,769037,6371,4552,10,148,203822,68,5.81,5.81,5.05,116.75,343.40,395.08,395.08,18.13,116.75,226.65,244.78,-168.43
2451442,34261,1892,94652,1844758,2864,45723,4,82,216456,52,93.09,112.63,10.13,0.00,526.76,4840.68,5856.76,47.40,0.00,526.76,574.16,-4313.92
2452567,38713,12078,77647,355285,4923,26161,8,108,104734,22,86.21,125.00,120.00,976.80,2640.00,1896.62,2750.00,33.26,976.80,1663.20,1696.46,-233.42
2452388,47760,9372,21795,1043915,1235,45802,10,63,73900,38,13.99,18.46,7.38,0.00,280.44,531.62,701.48,2.80,0.00,280.44,283.24,-251.18
2451807,47255,8767,26284,988456,6628,32800,7,219,165956,68,28.02,30.26,15.43,0.00,1049.24,1905.36,2057.68,62.95,0.00,1049.24,1112.19,-856.12
2451083,45892,13825,73742,976219,5896,38020,8,51,23552,63,83.62,111.21,8.89,504.06,560.07,5268.06,7006.23,2.80,504.06,56.01,58.81,-5212.05
2450914,51885,15788,55520,1891452,6937,26869,4,74,13026,86,4.42,7.77,3.41,0.00,293.26,380.12,668.22,8.79,0.00,293.26,302.05,-86.86
2452635,49231,17790,94576,131576,5729,9129,8,140,145515,33,38.26,45.52,4.55,0.00,150.15,1262.58,1502.16,13.51,0.00,150.15,163.66,-1112.43
2451154,,7162,,1380491,,,,,112417,,62.46,,,0.00,2913.46,2373.48,2943.10,174.80,0.00,,,539.98
2452577,48827,7717,89373,1596864,2755,20246,8,268,196727,9,95.45,133.63,50.77,0.00,456.93,859.05,1202.67,22.84,0.00,456.93,479.77,-402.12
2452513,56784,13009,20299,370663,6274,46238,7,43,152131,21,65.37,118.31,76.90,1582.60,1614.90,1372.77,2484.51,0.00,1582.60,32.30,32.30,-1340.47
2451694,37550,3031,45519,791014,3262,48357,8,213,233283,77,96.64,110.16,27.54,0.00,2120.58,7441.28,8482.32,127.23,0.00,2120.58,2247.81,-5320.70
2451981,50903,15329,85988,676684,3027,22523,10,207,150867,8,80.29,158.97,87.43,0.00,699.44,642.32,1271.76,41.96,0.00,699.44,741.40,57.12
2452244,33848,17101,68291,287329,5120,26958,2,108,221197,16,28.71,52.82,47.53,136.88,760.48,459.36,845.12,24.94,136.88,623.60,648.54,164.24
2452516,36564,5431,45003,1078858,1960,39815,10,95,20331,9,97.94,150.82,110.09,663.84,990.81,881.46,1357.38,0.00,663.84,326.97,326.97,-554.49
2452185,37675,12869,48763,358265,6520,6822,4,222,129861,19,50.35,70.99,2.12,0.00,40.28,956.65,1348.81,0.80,0.00,40.28,41.08,-916.37
2451898,39096,10385,63477,761350,2070,15943,7,31,44819,99,71.46,105.76,99.41,0.00,9841.59,7074.54,10470.24,393.66,0.00,9841.59,10235.25,2767.05
2452398,65027,13257,5741,1220576,5011,22199,2,274,174268,45,74.58,88.75,61.23,0.00,2755.35,3356.10,3993.75,192.87,0.00,2755.35,2948.22,-600.75
2452070,46876,8709,59818,536119,1220,46321,10,203,141888,82,16.92,22.50,22.05,0.00,1808.10,1387.44,1845.00,18.08,0.00,1808.10,1826.18,420.66
2452356,33008,16071,96045,804145,6998,43498,10,141,220598,8,40.06,70.50,62.74,175.67,501.92,320.48,564.00,0.00,175.67,326.25,326.25,5.77
2451533,56520,14336,38819,1331837,2455,1473,4,167,100675,48,90.70,93.42,38.30,0.00,1838.40,4353.60,4484.16,36.76,0.00,1838.40,1875.16,-2515.20
2450901,59242,2126,43607,1388280,2553,31273,7,97,45820,77,4.30,5.11,5.05,0.00,388.85,331.10,393.47,19.44,0.00,388.85,408.29,57.75
2450913,33146,17890,46727,1746595,863,31578,2,282,229202,65,6.44,9.78,6.94,0.00,451.10,418.60,635.70,4.51,0.00,451.10,455.61,32.50
2451996,53133,11613,78178,992560,189,8571,7,,129275,46,,,11.93,0.00,548.78,1720.40,,,0.00,,581.70,
2451597,36126,8477,94798,93823,5648,7873,2,173,115412,11,88.69,101.10,6.06,58.66,66.66,975.59,1112.10,0.56,58.66,8.00,8.56,-967.59
2452484,47003,12073,64416,1863655,847,16839,7,31,46713,2,78.88,154.60,117.49,0.00,234.98,157.76,309.20,21.14,0.00,234.98,256.12,77.22
2451952,64857,8881,,,,,,,120141,80,,53.55,,,,4080.00,4284.00,,,,3442.17,
2451467,53599,7894,5751,1260476,5601,17526,8,73,120387,71,23.76,33.02,16.51,0.00,1172.21,1686.96,2344.42,105.49,0.00,1172.21,1277.70,-514.75
2451387,53701,15976,71845,559917,4436,12508,8,190,63646,24,63.80,126.96,31.74,38.08,761.76,1531.20,3047.04,0.00,38.08,723.68,723.68,-807.52
2451895,51923,7100,29818,1455401,2584,3720,4,266,234524,84,41.37,53.36,44.28,0.00,3719.52,3475.08,4482.24,185.97,0.00,3719.52,3905.49,244.44
2452553,39916,7633,35418,956101,1231,49914,4,89,132874,11,77.83,139.31,30.64,0.00,337.04,856.13,1532.41,20.22,0.00,337.04,357.26,-519.09
2452451,46554,7296,27211,921766,1921,22523,10,248,69032,1,15.54,23.77,4.27,0.00,4.27,15.54,23.77,0.12,0.00,4.27,4.39,-11.27
2451944,73395,6089,54085,975409,2780,41304,2,246,28983,72,8.74,10.05,5.72,4.11,411.84,629.28,723.60,36.69,4.11,407.73,444.42,-221.55
2451543,63904,2275,54042,834440,885,21683,4,254,132738,59,7.62,8.53,3.07,0.00,181.13,449.58,503.27,0.00,0.00,181.13,181.13,-268.45
2452111,58236,15455,37056,1901264,3072,30433,1,171,110180,29,84.89,88.28,81.21,0.00,2355.09,2461.81,2560.12,188.40,0.00,2355.09,2543.49,-106.72
2452187,39261,4793,60320,262580,487,17194,10,154,42013,17,46.61,57.79,31.20,0.00,530.40,792.37,982.43,5.30,0.00,530.40,535.70,-261.97
2451381,49071,2188,19036,473583,3777,25524,7,36,201455,67,68.40,136.80,62.92,0.00,4215.64,4582.80,9165.60,168.62,0.00,4215.64,4384.26,-367.16
2452429,46487,3258,68406,1366808,3610,40412,7,8,118469,89,78.49,117.73,40.02,0.00,3561.78,6985.61,10477.97,0.00,0.00,3561.78,3561.78,-3423.83
2452124,62300,3893,65750,445006,615,41471,4,116,104448,15,14.69,20.85,20.01,0.00,300.15,220.35,312.75,15.00,0.00,300.15,315.15,79.80
2452496,29064,16161,35161,1056737,6313,7889,7,269,166602,7,82.67,128.13,73.03,0.00,511.21,578.69,896.91,0.00,0.00,511.21,511.21,-67.48
2450941,41537,13490,20743,1162325,5507,736,7,68,102047,6,93.68,139.58,122.83,0.00,736.98,562.08,837.48,44.21,0.00,736.98,781.19,174.90
2451842,64232,8527,37452,951524,796,29315,4,246,101938,26,43.69,82.13,22.99,585.78,597.74,1135.94,2135.38,0.47,585.78,11.96,12.43,-1123.98
2451762,62035,17803,88840,309537,187,18037,10,11,68086,4,29.31,32.82,7.87,0.00,31.48,117.24,131.28,0.31,0.00,31.48,31.79,-85.76
2450844,50307,6274,2899,1004284,69,29054,1,259,226006,21,69.68,99.64,88.67,0.00,1862.07,1463.28,2092.44,93.10,0.00,1862.07,1955.17,398.79
2452271,37938,15639,39754,158319,6037,28202,10,163,165740,33,5.67,8.78,0.79,0.00,26.07,187.11,289.74,2.34,0.00,26.07,28.41,-161.04
2452216,42896,493,55948,585830,4065,3147,1,228,145537,30,92.55,145.30,17.43,0.00,522.90,2776.50,4359.00,36.60,0.00,522.90,559.50,-2253.60
2451583,52388,3667,4177,907627,2724,1774,7,234,187952,4,63.02,103.35,36.17,0.00,144.68,252.08,413.40,2.89,0.00,144.68,147.57,-107.40
2452500,65588,11947,50677,549493,6356,34019,1,245,219249,87,13.72,24.42,6.83,0.00,594.21,1193.64,2124.54,17.82,0.00,594.21,612.03,-599.43
,31857,7380,61208,615250,,16840,,,121247,33,,83.73,,0.00,1215.72,2489.52,2763.09,36.47,0.00,,1252.19,-1273.80
2452605,70773,5664,72268,1906932,3643,13554,1,99,192525,9,61.40,95.17,39.01,0.00,351.09,552.60,856.53,28.08,0.00,351.09,379.17,-201.51
2451124,62904,1267,74176,1406773,4970,11167,1,67,15132,49,30.80,52.36,4.18,0.00,204.82,1509.20,2565.64,10.24,0.00,204.82,215.06,-1304.38
2451780,54276,5113,56454,1261785,7116,31647,10,70,88040,70,24.22,31.48,28.33,0.00,1983.10,1695.40,2203.60,158.64,0.00,1983.10,2141.74,287.70
2451039,43119,5084,18287,1061249,5811,14820,10,241,93641,45,50.19,98.37,41.31,0.00,1858.95,2258.55,4426.65,92.94,0.00,1858.95,1951.89,-399.60
2452228,29828,17227,29090,167373,4056,42739,10,195,40557,83,86.01,107.51,44.07,0.00,3657.81,7138.83,8923.33,0.00,0.00,3657.81,3657.81,-3481.02
2451410,48532,8824,2039,1526271,6503,40735,4,8,137477,65,34.80,37.93,22.37,0.00,1454.05,2262.00,2465.45,43.62,0.00,1454.05,1497.67,-807.95
2451180,60558,5164,21907,1281675,1443,46811,1,238,222795,40,8.16,14.03,12.06,246.02,482.40,326.40,561.20,18.91,246.02,236.38,255.29,-90.02
2451507,59180,5329,92988,578248,1908,10768,2,71,207599,52,31.77,59.72,38.22,0.00,1987.44,1652.04,3105.44,99.37,0.00,1987.44,2086.81,335.40
2452506,64061,13434,46627,903079,3884,17136,2,285,31515,89,42.11,82.95,45.62,0.00,4060.18,3747.79,7382.55,243.61,0.00,4060.18,4303.79,312.39
2451625,52725,17087,48095,1809618,3141,40264,1,263,194080,44,99.24,163.74,91.69,0.00,4034.36,4366.56,7204.56,0.00,0.00,4034.36,4034.36,-332.20
2451060,41143,992,76049,527066,1730,45147,10,99,31728,53,73.36,80.69,8.87,0.00,470.11,3888.08,4276.57,18.80,0.00,470.11,488.91,-3417.97
2452474,70364,14676,16633,176864,742,2173,8,236,133024,31,66.95,97.07,87.36,0.00,2708.16,2075.45,3009.17,0.00,0.00,2708.16,2708.16,632.71
2451543,68393,1124,24548,1391923,4098,2626,8,24,179213,40,83.66,120.47,112.03,2688.72,4481.20,3346.40,4818.80,125.47,2688.72,1792.48,1917.95,-1553.92
2451410,,16210,,,,2295,,,92303,57,13.78,,,,288.42,,902.88,,,,,
2451100,45760,13393,11639,1442751,2663,33822,2,21,82050,86,24.78,26.51,4.24,113.03,364.64,2131.08,2279.86,12.58,113.03,251.61,264.19,-1879.47
2451478,42722,10016,98892,8958,977,47043,2,218,232058,21,53.70,54.77,23.55,0.00,494.55,1127.70,1150.17,44.50,0.00,494.55,539.05,-633.15
2451416,63101,1123,79980,1303136,6292,18648,1,6,90213,56,27.74,41.33,10.33,0.00,578.48,1553.44,2314.48,40.49,0.00,578.48,618.97,-974.96
2451131,37326,15211,69473,700656,1886,49469,1,256,37798,40,30.99,53.92,34.50,0.00,1380.00,1239.60,2156.80,55.20,0.00,1380.00,1435.20,140.40
2451726,42053,74,84131,1847388,6645,19502,1,251,103379,33,51.53,96.87,67.80,0.00,2237.40,1700.49,3196.71,178.99,0.00,2237.40,2416.39,536.91
2451239,63146,7304,38990,47239,1888,24937,4,129,157680,74,60.80,83.90,19.29,0.00,1427.46,4499.20,6208.60,71.37,0.00,1427.46,1498.83,-3071.74
2451136,33910,15598,48388,1103,7065,15380,7,59,72994,35,99.42,162.05,66.44,0.00,2325.40,3479.70,5671.75,23.25,0.00,2325.40,2348.65,-1154.30
2452137,46115,3281,48237,438803,1369,15935,8,146,196904,86,73.11,139.64,71.21,1224.81,6124.06,6287.46,12009.04,48.99,1224.81,4899.25,4948.24,-1388.21
2451707,31708,1658,5691,1159401,3958,44468,7,55,88419,86,10.90,20.38,2.44,31.47,209.84,937.40,1752.68,5.35,31.47,178.37,183.72,-759.03
2452270,37569,13621,38387,1439758,1482,39206,7,94,101384,46,5.68,8.29,2.07,0.00,95.22,261.28,381.34,4.76,0.00,95.22,99.98,-166.06
2451433,67938,15217,91625,1722874,5323,34525,2,173,225252,53,93.15,125.75,82.99,0.00,4398.47,4936.95,6664.75,351.87,0.00,4398.47,4750.34,-538.48
2451854,42234,8843,2681,504127,6373,41819,2,61,221752,59,39.91,64.65,47.84,0.00,2822.56,2354.69,3814.35,225.80,0.00,2822.56,3048.36,467.87
2452398,53336,8529,79575,1103802,5982,35409,8,224,106520,42,42.28,57.07,17.12,0.00,719.04,1775.76,2396.94,57.52,0.00,719.04,776.56,-1056.72
2452197,61505,14737,62827,1579019,11,48203,1,156,189061,43,5.66,7.75,2.79,0.00,119.97,243.38,333.25,10.79,0.00,119.97,130.76,-123.41
2451142,41373,6697,77727,381184,5888,16592,10,98,13116,14,30.93,32.47,19.48,0.00,272.72,433.02,454.58,21.81,0.00,272.72,294.53,-160.30
2450850,,868,15144,,4002,32431,1,,13,,62.85,109.35,,0.00,,5467.95,9513.45,38.03,0.00,950.91,,-4517.04
2451493,37894,10922,90903,904948,5393,39885,10,117,188159,80,14.50,23.78,3.32,0.00,265.60,1160.00,1902.40,18.59,0.00,265.60,284.19,-894.40
2451266,34336,14158,22688,827158,6028,35698,2,211,124195,33,27.09,39.00,13.26,0.00,437.58,893.97,1287.00,35.00,0.00,437.58,472.58,-456.39
2451791,38743,17557,89850,659954,1611,10915,2,261,26509,5,6.19,12.00,2.40,0.00,12.00,30.95,60.00,0.48,0.00,12.00,12.48,-18.95
2451137,62862,5216,35774,172040,1106,1772,10,267,106618,37,21.57,36.66,3.29,0.00,121.73,798.09,1356.42,7.30,0.00,121.73,129.03,-676.36
