ws_sold_date_sk,ws_sold_time_sk,ws_ship_date_sk,ws_item_sk,ws_bill_customer_sk,ws_bill_cdemo_sk,ws_bill_hdemo_sk,ws_bill_addr_sk,ws_ship_customer_sk,ws_ship_cdemo_sk,ws_ship_hdemo_sk,ws_ship_addr_sk,ws_web_page_sk,ws_web_site_sk,ws_ship_mode_sk,ws_warehouse_sk,ws_promo_sk,ws_order_number,ws_quantity,ws_wholesale_cost,ws_list_price,ws_sales_price,ws_ext_discount_amt,ws_ext_sales_price,ws_ext_wholesale_cost,ws_ext_list_price,ws_ext_tax,ws_coupon_amt,ws_ext_ship_cost,ws_net_paid,ws_net_paid_inc_tax,ws_net_paid_inc_ship,ws_net_paid_inc_ship_tax,ws_net_profit
2452224,45825,2452330,204435,4337226,673289,3399,2993062,8008197,1711558,6945,4856608,1209,17,5,18,98,58609722,95,64.90,98.64,82.85,1500.05,7870.75,6165.50,9370.80,78.70,0.00,2248.65,7870.75,7949.45,10119.40,10198.10,1705.25
2451144,6844,2451217,213691,3793779,669301,2776,2665051,7501405,595730,323,2815845,2779,28,20,12,1477,12609264,25,49.33,61.66,26.51,878.75,662.75,1233.25,1541.50,39.76,0.00,0.00,662.75,702.51,662.75,702.51,-570.50
2451150,15162,2451171,37750,1318563,1306283,3956,1046876,7185768,1537029,5142,1028862,782,1,18,18,431,9064114,78,14.10,41.03,36.51,352.56,2847.78,1099.80,3200.34,56.95,0.00,895.44,2847.78,2904.73,3743.22,3800.17,1747.98
2451649,59469,2451655,228997,11410662,1367900,2738,1605576,11988388,1412779,1290,4532128,2270,1,3,20,897,54770899,16,72.34,175.06,112.03,1008.48,1792.48,1157.44,2800.96,89.62,0.00,1064.32,1792.48,1882.10,2856.80,2946.42,635.04
2451110,40755,2451217,275959,1966590,655106,3269,131785,96842,1248769,3380,1857496,2653,28,3,11,759,752747,16,60.80,171.45,0.00,2743.20,0.00,972.80,2743.20,0.00,0.00,219.36,0.00,0.00,219.36,219.36,-972.80
2452131,49407,2452244,201169,2061575,206550,3972,3959794,10011575,1625140,6813,2318635,2703,21,1,19,697,56973904,86,24.54,48.58,25.26,2005.52,2172.36,2110.44,4177.88,195.51,0.00,751.64,2172.36,2367.87,2924.00,3119.51,61.92
2451582,63029,2451643,229646,6356953,1507970,6540,2253110,6522672,1127109,2420,5469790,79,19,13,3,633,59879743,17,26.85,73.30,0.00,1246.10,0.00,456.45,1246.10,0.00,0.00,224.23,0.00,0.00,224.23,224.23,-456.45
2451508,60110,2451618,105463,2378833,504892,1351,2944210,1050189,672788,5940,2214399,1928,43,8,13,791,365180,60,80.50,222.98,182.84,2408.40,10970.40,4830.00,13378.80,0.00,8666.61,3478.20,2303.79,2303.79,5781.99,5781.99,-2526.21
2451744,34327,2451854,264200,4729538,1433516,5494,498272,1550981,1367210,1053,340231,595,20,1,19,124,15933448,25,87.72,218.42,211.86,164.00,5296.50,2193.00,5460.50,264.82,0.00,1965.75,5296.50,5561.32,7262.25,7527.07,3103.50
2451892,40812,2451959,16531,11655637,352272,4107,159142,1100749,773973,247,4314129,119,35,12,8,264,45566633,85,20.73,43.32,20.79,1915.05,1767.15,1762.05,3682.20,70.68,0.00,1693.20,1767.15,1837.83,3460.35,3531.03,5.10
2452503,34347,2452558,18717,3190939,953721,4856,3358391,11702328,1660746,2996,270131,975,1,9,3,1197,44594941,87,17.84,21.76,11.09,928.29,964.83,1552.08,1893.12,19.29,0.00,908.28,964.83,984.12,1873.11,1892.40,-587.25
2452567,69939,2452685,211674,1439528,982046,211,1232776,10445654,195080,5671,268636,925,27,12,3,481,12310768,27,99.31,197.62,25.69,4642.11,693.63,2681.37,5335.74,7.69,436.98,693.63,256.65,264.34,950.28,957.97,-2424.72
2452217,62202,2452327,154703,11108296,388682,3915,3563501,11108296,388682,3915,3563501,2773,9,9,20,138,47006209,15,25.58,62.67,5.64,855.45,84.60,383.70,940.05,3.38,0.00,469.95,84.60,87.98,554.55,557.93,-299.10
2452128,71064,2452207,85123,1756888,361828,6321,4054461,8463066,1785088,4034,2945774,2813,7,2,16,1310,25770411,17,37.42,100.28,78.21,375.19,1329.57,636.14,1704.76,119.66,0.00,545.36,1329.57,1449.23,1874.93,1994.59,693.43
2451166,59918,2451189,237937,2073742,1821331,4120,1189662,3310572,749739,5582,1838771,494,28,1,14,374,25620022,11,30.94,90.96,12.73,860.53,140.03,340.34,1000.56,11.20,0.00,310.09,140.03,151.23,450.12,461.32,-200.31
2452163,49837,2452268,123101,8896268,1269355,3689,2807623,8896268,1269355,3689,2807623,1731,3,5,1,864,24649909,42,94.18,214.73,137.42,3247.02,5771.64,3955.56,9018.66,461.73,0.00,3968.16,5771.64,6233.37,9739.80,10201.53,1816.08
2451908,12316,2451957,160183,1426445,1861649,5300,259704,1426445,1861649,5300,259704,1141,20,18,5,952,58602610,22,38.61,77.99,36.65,909.48,806.30,849.42,1715.78,50.95,169.32,274.34,636.98,687.93,911.32,962.27,-212.44
2452232,75861,2452320,147955,7097991,689451,4911,2548724,711408,1068432,5504,3794564,643,21,14,20,213,22106926,36,65.80,177.00,37.17,5033.88,1338.12,2368.80,6372.00,8.96,441.57,2803.68,896.55,905.51,3700.23,3709.19,-1472.25
2451450,751,2451558,68875,11923266,129497,4528,618759,2890718,1311745,1805,4062436,1726,26,10,3,109,59037008,41,11.38,20.37,13.64,275.93,559.24,466.58,835.17,5.59,0.00,367.36,559.24,564.83,926.60,932.19,92.66
2451890,43119,2451986,247742,1136644,1306571,6545,4895319,8501379,599669,4394,2251121,1645,49,6,4,782,8117585,58,84.82,177.27,164.86,719.78,9561.88,4919.56,10281.66,382.47,0.00,4009.54,9561.88,9944.35,13571.42,13953.89,4642.32
2451143,46035,2451177,156256,4442463,1139012,4808,4849004,4496106,928416,4345,3218941,808,44,11,11,84,189000,90,19.29,47.06,24.00,2075.40,2160.00,1736.10,4235.40,64.80,0.00,634.50,2160.00,2224.80,2794.50,2859.30,423.90
2451790,72141,2451883,273431,5847415,708339,3310,15434,10109958,1414089,1406,411577,769,38,6,20,847,21013872,81,87.78,87.78,44.76,3484.62,3625.56,7110.18,7110.18,72.51,0.00,2559.60,3625.56,3698.07,6185.16,6257.67,-3484.62
2452253,35991,2452336,117235,10466493,1768509,5725,1851741,8036851,177256,542,881758,1771,31,8,19,550,19405723,81,89.91,239.16,174.58,5230.98,14140.98,7282.71,19371.96,848.45,0.00,3680.64,14140.98,14989.43,17821.62,18670.07,6858.27
2452607,83216,2452699,81547,6651076,458910,5144,4725778,10602062,389093,33,4675067,1701,39,4,14,1084,19838201,63,16.45,47.86,24.88,1447.74,1567.44,1036.35,3015.18,47.02,0.00,1295.91,1567.44,1614.46,2863.35,2910.37,531.09
2452523,10537,2452598,89304,3261759,321255,1551,2641047,3261759,321255,1551,2641047,840,39,17,9,474,21150526,92,69.61,175.41,28.06,13556.20,2581.52,6404.12,16137.72,232.33,0.00,806.84,2581.52,2813.85,3388.36,3620.69,-3822.60
2451659,66799,2451661,49199,2844078,505521,4917,1579513,9847521,313581,2595,5549191,2089,43,11,14,990,56764884,46,89.20,231.02,219.46,531.76,10095.16,4103.20,10626.92,100.95,0.00,3719.10,10095.16,10196.11,13814.26,13915.21,5991.96
2451523,30278,2451602,101038,1482618,1087094,17,797293,4090185,565272,6015,3539291,808,25,5,8,1398,34721720,55,78.70,130.64,28.74,5604.50,1580.70,4328.50,7185.20,31.61,0.00,1221.00,1580.70,1612.31,2801.70,2833.31,-2747.80
2452293,8424,2452320,84421,5763612,380735,4258,1230628,11507211,620540,2797,1358767,510,51,11,16,954,21025547,90,42.11,45.05,4.05,3690.00,364.50,3789.90,4054.50,18.22,0.00,81.00,364.50,382.72,445.50,463.72,-3425.40
2450978,36935,2450994,200785,3317712,1432651,2437,3402623,738443,572279,687,1860073,1468,37,20,16,1485,31659012,100,88.20,196.68,171.11,2557.00,17111.00,8820.00,19668.00,1368.88,0.00,0.00,17111.00,18479.88,17111.00,18479.88,8291.00
2450936,56313,2450979,144098,1558815,1601062,6509,5005109,792208,1888109,3050,1428050,1796,13,6,3,160,3439349,78,61.20,82.00,50.02,2494.44,3901.56,4773.60,6396.00,351.14,0.00,1854.84,3901.56,4252.70,5756.40,6107.54,-872.04
2451488,39685,2451544,19927,7282716,517911,6706,769454,7282716,517911,6706,769454,1010,8,16,11,206,12150543,73,94.96,172.82,172.82,0.00,12615.86,6932.08,12615.86,0.00,0.00,4163.19,12615.86,12615.86,16779.05,16779.05,5683.78
2451866,74394,2451906,86318,1641854,1358641,2181,5415321,7220635,1119982,6741,3135081,421,44,8,10,585,37211105,30,44.00,118.36,16.57,3053.70,497.10,1320.00,3550.80,44.73,0.00,319.50,497.10,541.83,816.60,861.33,-822.90
2451482,11904,2451535,178994,7191834,864802,5770,3251538,7059944,170799,4842,1997810,1438,13,7,7,787,8975008,83,99.15,187.39,59.96,10576.69,4976.68,8229.45,15553.37,298.60,0.00,5909.60,4976.68,5275.28,10886.28,11184.88,-3252.77
2451491,45204,2451539,254461,5590995,159759,2923,4419334,4259967,640560,473,5029237,217,8,4,8,852,12239752,75,30.22,76.15,19.03,4284.00,1427.25,2266.50,5711.25,17.84,1070.43,799.50,356.82,374.66,1156.32,1174.16,-1909.68
2452429,62030,2452460,130723,2354531,1253274,4370,4220713,7238859,1108374,2895,2536838,1167,19,5,19,1473,20212647,80,89.25,233.83,79.50,12346.40,6360.00,7140.00,18706.40,572.40,0.00,9352.80,6360.00,6932.40,15712.80,16285.20,-780.00
2452384,69909,2452395,241818,11162561,141374,7034,2900247,10880301,1509054,1580,5539593,1609,7,1,19,1057,52551851,20,92.35,262.27,5.24,5140.60,104.80,1847.00,5245.40,1.04,0.00,2150.60,104.80,105.84,2255.40,2256.44,-1742.20
2452172,67784,2452234,164413,1239547,388731,4315,2800699,1183858,1386989,3098,365882,1409,9,15,10,65,5661352,73,84.43,190.81,30.52,11701.17,2227.96,6163.39,13929.13,133.67,0.00,5571.36,2227.96,2361.63,7799.32,7932.99,-3935.43
2452306,35166,2452370,106344,11772819,1852383,3147,2226711,2228522,1073760,5403,3498567,648,51,8,20,999,43522182,42,99.41,208.76,150.30,2455.32,6312.60,4175.22,8767.92,378.75,0.00,2542.68,6312.60,6691.35,8855.28,9234.03,2137.38
2452480,69672,2452522,262773,394375,1802540,5905,534070,394375,1802540,5905,534070,541,15,10,13,196,58432848,85,85.96,249.28,9.97,20341.35,847.45,7306.60,21188.80,19.66,355.92,10170.25,491.53,511.19,10661.78,10681.44,-6815.07
2451881,46600,2451998,163559,6780203,1563275,747,2788619,6174506,1180683,6635,3466507,2876,13,14,18,1269,45715413,67,81.70,241.83,232.15,648.56,15554.05,5473.90,16202.61,466.62,0.00,3888.01,15554.05,16020.67,19442.06,19908.68,10080.15
2450862,62817,2450969,256963,7521695,565340,185,2842677,2156025,1177568,2412,776104,1904,31,10,2,654,38741612,26,21.12,63.14,14.52,1264.12,377.52,549.12,1641.64,15.10,0.00,755.04,377.52,392.62,1132.56,1147.66,-171.60
2451493,65548,2451549,73003,2790029,259428,5627,615026,7163758,927475,23,3715022,2290,31,11,10,1409,18811895,18,55.10,116.26,37.20,1423.08,669.60,991.80,2092.68,0.00,0.00,523.08,669.60,669.60,1192.68,1192.68,-322.20
2452484,43413,2452488,229239,9212676,1447846,4263,2516233,3220121,1454050,590,5759760,2485,6,12,20,881,44864589,7,65.80,66.45,41.86,172.13,293.02,460.60,465.15,20.51,0.00,213.92,293.02,313.53,506.94,527.45,-167.58
2452374,71316,2452462,101586,6944227,1695402,6577,5696505,3958900,1867459,1230,1344405,859,39,1,10,1219,38166029,3,63.30,155.71,126.12,88.77,378.36,189.90,467.13,22.70,0.00,93.42,378.36,401.06,471.78,494.48,188.46
2452597,47322,2452623,76482,10458058,1738175,2739,1604456,10458058,1738175,2739,1604456,2400,12,15,9,843,29882513,34,10.16,10.56,4.11,219.30,139.74,345.44,359.04,9.78,0.00,107.44,139.74,149.52,247.18,256.96,-205.70
2452302,72891,2452333,231121,954077,1630017,3910,493450,4024865,1372987,1270,3707163,2245,1,4,11,1365,9034694,88,94.58,178.75,105.46,6449.52,9280.48,8323.04,15730.00,278.41,0.00,2830.96,9280.48,9558.89,12111.44,12389.85,957.44
2451784,40273,2451877,135452,9170059,1327226,5993,2405560,3301728,1508347,6661,1386228,2522,49,12,10,495,50005477,56,88.85,192.80,190.87,108.08,10688.72,4975.60,10796.80,213.77,0.00,1295.28,10688.72,10902.49,11984.00,12197.77,5713.12
2451085,39858,2451176,124868,6042037,74356,3475,4711347,4929690,1573377,1457,2764976,724,2,20,5,37,7886237,87,69.73,193.84,143.44,4384.80,12479.28,6066.51,16864.08,499.17,0.00,5395.74,12479.28,12978.45,17875.02,18374.19,6412.77
2451863,68161,2451966,171685,9517689,455631,3973,4274715,11603142,1816174,1694,1800436,2789,29,15,5,548,22003301,86,90.48,161.05,90.18,6094.82,7755.48,7781.28,13850.30,0.00,0.00,5817.04,7755.48,7755.48,13572.52,13572.52,-25.80
2451365,31245,2451464,137236,1648923,256222,321,5510820,10534561,61991,3117,2660016,1369,28,2,14,546,5166034,25,49.37,52.33,21.45,772.00,536.25,1234.25,1308.25,21.45,0.00,65.25,536.25,557.70,601.50,622.95,-698.00
2451627,44036,2451695,128647,8450733,1715127,6274,587821,8308670,1351662,1356,5759703,1271,31,7,6,1418,25490704,65,89.66,154.21,47.80,6916.65,3107.00,5827.90,10023.65,279.63,0.00,801.45,3107.00,3386.63,3908.45,4188.08,-2720.90
2450839,46456,2450902,206162,7454045,135973,5548,3062323,4390712,585099,2601,5034576,2077,7,13,20,1147,20602939,47,72.33,214.09,32.11,8553.06,1509.17,3399.51,10062.23,15.09,0.00,2616.02,1509.17,1524.26,4125.19,4140.28,-1890.34
2451721,80218,2451789,8705,1958310,605120,2330,2540340,10109985,1878436,6817,800027,2102,23,14,5,816,26498355,38,23.71,47.42,14.22,1261.60,540.36,900.98,1801.96,21.61,0.00,720.48,540.36,561.97,1260.84,1282.45,-360.62
2451672,56964,2451732,3649,6325828,341722,3569,2260616,5219989,1320211,204,5012451,1688,50,10,19,1495,43770166,17,50.53,105.10,85.13,339.49,1447.21,859.01,1786.70,101.30,0.00,250.07,1447.21,1548.51,1697.28,1798.58,588.20
2451536,73506,2451546,19945,6575570,365412,6007,1200649,1545700,1151123,6528,5861970,2575,52,18,10,175,51693753,3,60.25,89.77,6.28,250.47,18.84,180.75,269.31,0.56,0.00,102.33,18.84,19.40,121.17,121.73,-161.91
2451019,67015,2451082,20887,5856855,1691459,4910,5338361,5656123,1388106,5467,4474918,580,50,14,2,870,15554191,43,23.50,60.63,0.00,2607.09,0.00,1010.50,2607.09,0.00,0.00,312.61,0.00,0.00,312.61,312.61,-1010.50
2452506,79741,2452556,131520,4579660,681294,4528,1313715,1692655,1007853,1370,787004,321,33,19,18,264,52742041,93,50.55,132.94,25.25,10015.17,2348.25,4701.15,12363.42,70.44,0.00,4573.74,2348.25,2418.69,6921.99,6992.43,-2352.90
2452588,67285,2452620,140665,8487861,159534,4360,4697986,6499560,1542027,5711,1300584,1836,42,6,20,1434,13116135,54,49.42,119.10,88.13,1672.38,4759.02,2668.68,6431.40,47.59,0.00,64.26,4759.02,4806.61,4823.28,4870.87,2090.34
2452635,77141,2452742,112231,7751292,1282934,1329,3500171,2856696,284600,250,3659892,2913,3,3,16,1056,23025689,60,77.71,148.42,20.77,7659.00,1246.20,4662.60,8905.20,87.23,0.00,1157.40,1246.20,1333.43,2403.60,2490.83,-3416.40
2452049,35472,2452163,186135,10972713,1407946,6379,3624012,5690308,483182,111,342097,2381,3,13,1,1302,437711,75,22.40,24.86,4.47,1529.25,335.25,1680.00,1864.50,3.35,0.00,111.75,335.25,338.60,447.00,450.35,-1344.75
2452405,36392,2452469,122634,9207333,1473966,2646,3320479,5840542,1593352,4025,3643458,2934,30,5,4,1143,37970499,97,74.65,204.54,12.27,18650.19,1190.19,7241.05,19840.38,95.21,0.00,3173.84,1190.19,1285.40,4364.03,4459.24,-6050.86
2451623,26612,2451708,16463,10460468,559413,2005,4188150,3295715,1773244,3479,5480824,1253,11,17,5,740,26314344,33,35.33,75.60,51.40,798.60,1696.20,1165.89,2494.80,101.77,0.00,523.71,1696.20,1797.97,2219.91,2321.68,530.31
2452550,40242,2452563,181399,7508624,1305352,5280,5173561,5322581,1632957,6145,3888026,103,25,20,17,501,16012198,81,26.94,44.98,44.53,36.45,3606.93,2182.14,3643.38,0.00,0.00,1238.49,3606.93,3606.93,4845.42,4845.42,1424.79
2451158,70796,2451231,36226,1256289,446530,4771,4366212,8589426,697673,488,5029129,1450,16,10,15,1127,3828361,13,79.63,159.26,140.14,248.56,1821.82,1035.19,2070.38,109.30,0.00,786.63,1821.82,1931.12,2608.45,2717.75,786.63
2452258,54511,2452319,190901,6277395,1307108,2868,5228581,8269417,815971,1720,518633,1675,35,20,1,1362,11938614,44,41.65,112.03,48.17,2809.84,2119.48,1832.60,4929.32,169.55,0.00,1725.24,2119.48,2289.03,3844.72,4014.27,286.88
2450936,34396,2451022,114226,6574925,801332,6139,5790146,11838240,1639532,5814,4227421,1255,13,15,12,722,8668028,40,31.38,45.81,20.15,1026.40,806.00,1255.20,1832.40,32.24,0.00,861.20,806.00,838.24,1667.20,1699.44,-449.20
2452194,63874,2452234,294865,6137489,751886,6730,4869574,4523376,315087,4059,3523256,2037,15,8,6,284,39197116,43,57.68,61.71,3.70,2494.43,159.10,2480.24,2653.53,6.36,0.00,848.82,159.10,165.46,1007.92,1014.28,-2321.14
2452564,19911,2452678,246771,1645941,993220,6546,2209825,8159598,875966,1709,3133788,1617,12,8,11,247,37736141,72,34.74,48.63,4.37,3186.72,314.64,2501.28,3501.36,12.58,0.00,314.64,314.64,327.22,629.28,641.86,-2186.64
2450858,44501,2450872,96526,3365812,1104107,2849,3393591,5013583,1839631,5817,1258512,1918,22,16,4,1092,37200117,84,79.89,123.82,49.52,6241.20,4159.68,6710.76,10400.88,83.19,0.00,4263.84,4159.68,4242.87,8423.52,8506.71,-2551.08
2452568,16905,2452575,164532,664972,1640626,2680,4508381,664972,1640626,2680,4508381,2611,13,7,11,795,28194036,54,5.23,12.86,7.71,278.10,416.34,282.42,694.44,4.16,0.00,62.10,416.34,420.50,478.44,482.60,133.92
2451523,13902,2451543,143602,4561301,131108,4915,3983875,9510793,964959,496,1041856,202,31,13,2,1104,34374044,80,93.49,143.03,80.09,5035.20,6407.20,7479.20,11442.40,576.64,0.00,5034.40,6407.20,6983.84,11441.60,12018.24,-1072.00
2452490,83727,2452583,138852,10851133,514117,3948,4871732,3818512,1507668,5578,2038609,1638,27,20,4,448,57334153,84,96.90,165.69,62.96,8629.32,5288.64,8139.60,13917.96,39.66,3966.48,3757.32,1322.16,1361.82,5079.48,5119.14,-6817.44
2451151,54451,2451270,186836,5179527,1895525,3523,2251168,3913609,1508953,2362,2518807,1849,44,1,9,497,22425064,44,68.94,187.51,84.37,4538.16,3712.28,3033.36,8250.44,259.85,0.00,1485.00,3712.28,3972.13,5197.28,5457.13,678.92
2451059,68052,2451158,211970,5125242,271918,3841,3910964,501609,1703740,6286,4119809,2186,34,17,12,1360,8196335,86,87.71,121.91,73.14,4194.22,6290.04,7543.06,10484.26,314.50,0.00,313.90,6290.04,6604.54,6603.94,6918.44,-1253.02
2452548,10631,2452647,50754,8700371,191033,5695,3932004,11125684,858124,3637,1746299,1470,21,9,6,1163,50154721,72,94.76,180.04,82.81,7000.56,5962.32,6822.72,12962.88,536.60,0.00,388.80,5962.32,6498.92,6351.12,6887.72,-860.40
2451228,41967,2451278,240142,10134497,1349695,2046,3561244,5574957,242467,4791,4624789,1576,13,18,16,1194,18355636,61,29.35,56.35,18.59,2303.36,1133.99,1790.35,3437.35,56.69,0.00,1065.06,1133.99,1190.68,2199.05,2255.74,-656.36
2451295,68963,2451385,146942,4566988,746096,3157,2911065,10024804,813360,295,3047403,1708,1,5,7,1262,52413391,79,79.56,182.98,150.04,2602.26,11853.16,6285.24,14455.42,0.00,0.00,3613.46,11853.16,11853.16,15466.62,15466.62,5567.92
2451759,68933,2451840,222985,11156470,66630,790,1824903,927229,1825271,4983,5210696,1327,5,6,17,228,3814654,92,90.58,240.94,106.01,12413.56,9752.92,8333.36,22166.48,682.70,0.00,5984.60,9752.92,10435.62,15737.52,16420.22,1419.56
2451116,65429,2451207,141169,1854533,296558,4183,2907008,10490594,159404,7036,826661,1921,13,3,4,678,53863918,58,78.91,178.33,126.61,2999.76,7343.38,4576.78,10343.14,73.43,0.00,4343.62,7343.38,7416.81,11687.00,11760.43,2766.60
2452230,67210,2452297,46195,8168354,1780448,542,5756989,8192094,698364,24,2369718,1725,33,1,20,419,26511027,55,57.53,121.96,91.47,1676.95,5030.85,3164.15,6707.80,301.85,0.00,3152.60,5030.85,5332.70,8183.45,8485.30,1866.70
2451849,47502,2451953,24224,3143252,1205180,5155,3177483,10117309,748659,4961,4878889,2660,43,19,3,967,23918544,95,99.01,196.03,74.49,11546.30,7076.55,9405.95,18622.85,212.29,0.00,6704.15,7076.55,7288.84,13780.70,13992.99,-2329.40
2451829,76442,2451838,167789,5326616,462908,4800,311492,2910517,1784047,721,2141013,626,29,10,11,959,10791303,37,13.72,19.20,0.19,703.37,7.03,507.64,710.40,0.28,0.00,71.04,7.03,7.31,78.07,78.35,-500.61
2452528,73083,2452620,296064,2579258,175713,3015,1279470,822390,135657,929,3202184,1092,15,5,11,1077,23143185,69,58.44,94.08,36.69,3959.91,2531.61,4032.36,6491.52,126.58,0.00,2076.90,2531.61,2658.19,4608.51,4735.09,-1500.75
2452209,61301,2452231,30513,2074816,685345,6274,4806403,10766271,1249362,4037,5932166,149,45,16,20,1004,31119410,94,41.24,47.01,4.70,3977.14,441.80,3876.56,4418.94,39.76,0.00,795.24,441.80,481.56,1237.04,1276.80,-3434.76
2451943,73314,2452013,33431,2476018,1239277,4936,71748,2476018,1239277,4936,71748,1541,51,15,7,1446,34922159,10,84.59,95.58,89.84,57.40,898.40,845.90,955.80,71.87,0.00,401.40,898.40,970.27,1299.80,1371.67,52.50
2452614,16602,2452625,284271,149561,1363712,3910,3813261,9136684,324839,608,353959,475,27,6,10,1214,38752323,55,18.17,35.24,15.15,1104.95,833.25,999.35,1938.20,49.99,0.00,348.70,833.25,883.24,1181.95,1231.94,-166.10
2452353,43900,2452381,164977,6511507,1374922,3937,1526999,2030741,244387,891,3053106,337,37,13,12,1484,6612484,22,71.55,193.18,119.77,1615.02,2634.94,1574.10,4249.96,210.79,0.00,1657.48,2634.94,2845.73,4292.42,4503.21,1060.84
2451493,64002,2451510,204106,406314,744225,6136,5591247,194649,157576,4627,5988138,1010,38,16,11,619,2795278,91,83.61,123.74,35.88,7995.26,3265.08,7608.51,11260.34,65.30,0.00,2927.47,3265.08,3330.38,6192.55,6257.85,-4343.43
2451463,35083,2451581,5060,2866858,193306,4201,5439449,5126898,759759,3240,1041688,1636,44,3,2,1194,14841178,54,57.92,90.35,82.21,439.56,4439.34,3127.68,4878.90,44.39,0.00,828.90,4439.34,4483.73,5268.24,5312.63,1311.66
2451510,31293,2451530,53852,1904879,832365,4651,378984,418082,1479695,5442,1032928,2179,10,12,13,227,21521149,91,2.76,5.74,5.28,41.86,480.48,251.16,522.34,38.43,0.00,213.85,480.48,518.91,694.33,732.76,229.32
2451056,76865,2451089,2798,6508800,708530,6660,5511990,3647449,1446414,5580,182910,1934,8,12,1,363,54539668,25,97.27,287.91,28.79,6478.00,719.75,2431.75,7197.75,7.19,0.00,503.75,719.75,726.94,1223.50,1230.69,-1712.00
2451519,72007,2451551,161402,11173753,1154527,4548,1949769,1164900,1031004,4985,3479006,914,49,19,3,267,58881933,39,81.39,170.91,90.58,3132.87,3532.62,3174.21,6665.49,70.65,0.00,266.37,3532.62,3603.27,3798.99,3869.64,358.41
2452144,32284,2452167,146827,8737075,199632,142,2195499,2248279,1631320,5123,5817633,2643,33,18,9,607,24230763,75,14.05,29.08,20.93,611.25,1569.75,1053.75,2181.00,13.18,910.45,1068.00,659.30,672.48,1727.30,1740.48,-394.45
2452631,33457,2452722,198775,11624980,1064114,6001,4168688,5006134,1208977,2796,2399083,1182,39,7,15,623,47149471,43,68.91,150.91,55.83,4088.44,2400.69,2963.13,6489.13,0.00,0.00,64.50,2400.69,2400.69,2465.19,2465.19,-562.44
