T_TRADE_PRICE,T_COMM
22.20,17.76
24.07,7.70
21.55,27.58
28.60,36.61
22.16,49.64
24.62,35.45
26.94,19.40
24.74,31.67
28.91,55.51
23.76,53.22
23.88,19.10
23.31,8.39
22.73,65.46
22.37,14.32
25.53,8.17
28.69,10.33
23.18,16.69
20.54,14.79
29.43,37.67
29.39,56.43
29.28,84.33
21.80,27.90
20.04,12.83
28.46,63.75
20.36,8.96
20.65,29.74
20.82,26.65
25.22,18.16
20.69,59.59
22.03,19.39
22.54,16.23
27.61,19.88
20.22,45.29
24.91,31.88
23.85,15.26
26.36,67.48
26.18,16.76
26.50,33.92
27.37,12.04
21.27,9.36
29.71,11.88
29.71,85.56
21.30,27.26
28.87,23.10
26.69,59.79
20.02,6.41
24.53,7.85
24.73,55.40
27.06,38.97
24.23,34.89
26.68,17.08
20.83,53.32
28.66,73.37
25.40,18.29
23.49,16.91
25.66,8.21
21.38,13.68
27.93,20.11
21.70,41.66
20.90,15.05
28.71,11.48
26.86,9.67
28.72,36.76
22.61,8.14
22.30,16.06
26.74,51.34
27.28,9.82
28.38,36.33
27.86,10.03
20.91,8.36
20.17,45.18
25.25,32.32
20.82,6.66
27.09,34.68
20.46,52.38
25.33,64.84
26.42,33.82
28.86,18.47
25.17,10.07
22.22,49.77
29.47,10.61
25.89,11.39
23.28,59.60
24.44,62.57
21.27,8.51
27.90,31.25
24.61,7.88
26.24,58.78
25.99,18.71
25.81,33.04
24.87,71.63
25.27,80.86
26.36,25.31
26.78,29.99
20.20,29.09
22.46,50.31
24.04,30.77
26.08,33.38
28.66,64.20
27.72,9.98
25.58,8.19
21.96,24.60
29.30,10.55
28.12,31.49
29.48,18.87
25.78,8.25
27.20,19.58
22.42,28.70
27.62,9.94
20.20,17.78
24.58,15.73
22.96,51.43
23.16,44.47
24.01,34.57
27.46,9.89
22.86,14.63
23.51,15.05
23.56,30.16
29.89,76.52
21.29,54.50
28.53,41.08
21.41,15.42
20.65,7.43
25.76,57.70
21.72,48.65
28.08,11.23
25.71,57.59
21.55,48.27
22.81,8.21
23.97,30.68
25.43,40.69
23.33,29.86
27.91,35.72
22.54,43.28
27.60,11.04
23.67,9.47
21.56,18.97
27.61,9.94
23.32,16.79
20.58,14.82
28.19,20.30
20.27,7.30
25.60,73.73
20.90,13.38
22.82,58.42
22.20,7.99
28.56,36.56
23.94,53.63
23.79,8.56
25.08,28.09
22.78,43.74
27.03,8.65
21.27,27.23
27.12,19.53
22.85,43.87
21.18,27.11
25.65,22.57
29.78,57.18
20.10,45.02
20.71,46.39
26.18,33.51
20.28,16.22
26.56,34.00
21.68,41.63
28.83,9.23
29.42,25.89
25.32,32.41
22.55,9.02
20.76,8.30
23.59,16.98
24.02,53.80
26.06,20.85
27.34,19.68
26.93,68.94
21.02,23.54
22.11,14.15
28.60,36.61
20.31,51.99
25.42,16.27
20.27,7.30
27.20,52.22
26.91,9.69
23.80,8.57
25.01,11.00
26.75,19.26
20.95,23.46
26.64,29.84
22.36,8.05
22.45,43.10
24.29,10.69
27.11,17.35
20.03,51.28
24.57,17.69
24.75,31.68
24.68,55.28
26.65,17.06
26.11,18.80
25.52,9.19
20.46,58.92
23.63,45.37
24.05,7.70
27.66,9.96
21.45,7.72
21.76,34.82
26.48,33.89
23.50,52.64
26.60,34.05
24.07,7.70
24.56,19.65
23.46,16.89
23.34,44.81
22.97,8.27
28.41,22.73
23.67,7.57
21.43,7.71
23.41,33.71
29.42,10.59
20.77,13.29
21.99,19.35
25.95,11.42
29.52,47.23
27.20,19.58
24.26,46.58
24.48,19.58
22.31,49.97
26.91,38.75
22.07,14.12
22.38,71.62
20.47,45.85
23.81,45.72
23.81,30.48
29.69,38.00
29.27,74.93
21.81,41.88
22.49,17.99
28.52,82.14
24.24,15.51
22.55,16.24
27.46,79.08
25.35,16.22
23.66,37.86
20.36,17.92
28.26,81.39
29.76,38.09
26.16,16.74
27.34,19.68
28.11,40.48
25.63,82.02
20.00,51.20
26.59,12.76
27.74,79.89
26.64,10.66
24.23,38.77
29.07,10.47
25.29,18.21
27.89,53.55
29.36,18.79
25.25,16.16
23.32,10.26
24.41,8.79
22.22,28.44
20.39,8.97
29.00,37.12
29.00,32.48
25.71,9.26
22.73,50.92
24.89,9.96
24.26,31.05
25.70,74.02
28.05,20.20
20.34,52.07
26.08,18.78
25.39,56.87
21.28,23.83
24.92,31.90
24.75,55.44
28.86,20.78
24.49,39.18
20.43,14.71
21.78,27.88
20.43,45.76
24.23,10.66
22.54,50.49
27.38,35.05
24.57,7.86
21.98,19.34
25.66,12.32
26.18,37.70
28.14,81.04
27.08,39.00
28.54,63.93
22.51,36.02
24.57,17.69
24.48,35.25
27.41,70.17
28.38,81.73
21.83,13.97
29.37,65.79
26.14,20.91
26.93,60.32
20.87,15.03
23.92,8.61
22.60,43.39
29.46,21.21
24.12,38.59
20.12,45.07
20.49,26.23
22.23,49.80
27.48,19.79
23.32,26.12
25.69,18.50
23.73,7.59
24.55,39.28
22.48,8.09
20.51,45.94
20.19,51.69
25.58,20.46
24.71,10.87
27.02,19.45
24.01,9.60
25.14,18.10
24.85,55.66
29.56,37.84
25.06,18.04
20.33,8.13
29.29,32.80
21.41,13.70
21.15,30.46
24.09,17.34
20.47,6.55
24.70,55.33
20.53,8.21
21.89,49.03
28.47,45.55
20.13,45.09
24.12,69.47
21.51,61.95
21.69,6.94
29.02,25.54
29.43,37.67
20.94,16.75
29.10,11.64
27.71,22.17
29.14,12.82
20.86,26.70
20.53,14.78
29.73,21.41
22.77,29.15
22.37,50.11
25.26,8.08
21.54,18.96
29.31,75.03
26.56,76.49
22.41,28.68
28.65,36.67
22.71,8.18
29.49,33.03
20.62,7.42
27.06,30.31
24.93,31.91
23.39,8.42
28.26,18.09
20.30,51.97
21.43,13.72
29.03,18.58
22.22,42.66
26.55,38.23
20.57,26.33
27.60,9.94
20.81,7.49
28.01,80.67
21.74,27.83
21.70,6.94
21.21,27.15
26.58,38.28
29.01,20.89
24.36,38.98
24.30,10.69
27.21,34.83
26.13,50.17
29.16,65.32
20.67,16.54
29.13,9.32
21.61,8.64
25.11,56.25
22.18,24.84
20.42,14.70
28.49,36.47
22.78,43.74
21.87,17.50
28.36,18.15
26.63,34.09
29.26,74.91
22.43,50.24
27.31,52.44
21.27,40.84
22.44,17.95
22.18,15.97
23.99,38.38
20.99,30.23
27.09,23.84
24.40,31.23
21.13,6.76
21.14,16.91
28.74,25.29
26.32,37.90
27.63,35.37
21.52,6.89
26.14,18.82
22.41,50.20
26.28,18.92
29.06,32.55
29.71,33.28
21.97,49.21
22.51,50.42
22.35,14.30
25.20,8.06
22.15,28.35
28.78,36.84
29.64,33.20
24.00,30.72
25.73,22.64
22.32,19.64
27.22,21.78
28.78,36.84
24.70,55.33
25.22,36.32
20.33,52.04
26.75,9.63
23.00,51.52
22.42,7.17
22.20,42.62
20.49,45.90
22.47,35.95
26.65,59.70
29.37,56.39
22.72,8.18
27.96,20.13
26.05,10.42
27.42,35.10
27.99,71.65
28.84,73.83
29.34,9.39
23.59,7.55
23.64,52.95
28.84,12.69
20.12,57.95
29.49,23.59
29.78,11.91
27.25,61.04
22.89,43.95
20.40,45.70
24.27,17.47
20.00,7.20
26.65,76.75
20.35,32.56
21.65,7.79
21.94,31.59
20.75,33.20
29.10,9.31
21.21,9.33
24.77,47.56
22.56,43.32
26.85,19.33
29.67,23.74
27.78,10.00
29.12,25.63
23.27,29.79
22.42,25.11
27.39,52.59
20.52,39.40
27.29,10.92
20.46,26.19
20.77,26.59
26.69,59.79
22.21,63.96
22.74,9.10
22.73,50.92
20.61,46.17
29.29,65.61
27.47,61.53
23.16,29.64
23.58,45.27
27.73,19.97
28.82,10.38
29.47,10.61
24.22,17.44
23.89,30.58
20.92,46.86
23.59,37.74
29.78,21.44
27.86,71.32
22.03,19.39
29.47,56.58
25.97,11.43
28.93,46.29
26.82,25.75
23.45,16.88
28.70,20.66
29.27,84.30
27.29,24.02
20.22,38.82
28.17,54.09
20.07,22.48
26.02,9.37
29.78,38.12
21.82,27.93
27.71,12.19
27.00,9.72
28.70,64.29
27.66,19.92
29.23,21.05
28.37,20.43
24.53,31.40
25.77,57.72
24.90,71.71
29.47,21.22
20.48,13.11
29.07,41.86
20.84,46.68
20.35,6.51
26.38,42.21
24.64,17.74
23.27,52.12
28.16,11.26
27.69,17.72
29.26,42.13
24.03,8.65
23.91,8.61
21.73,6.95
25.07,20.06
27.55,35.26
21.78,6.97
29.70,21.38
21.29,27.25
27.56,8.82
26.37,33.75
28.60,64.06
27.50,48.40
22.97,25.73
26.11,33.42
29.76,47.62
28.48,91.14
28.79,20.73
26.11,22.98
20.00,8.80
24.53,54.95
27.70,62.05
24.96,39.94
24.16,54.12
26.12,33.43
22.56,50.53
22.59,25.30
26.33,10.53
25.79,57.77
27.20,60.93
20.39,45.67
22.37,8.95
20.52,13.13
22.31,17.85
24.22,10.66
25.68,18.49
20.67,52.92
26.13,10.45
23.39,16.84
26.64,9.59
26.82,9.66
21.86,8.74
21.66,9.53
20.56,14.80
27.51,61.62
20.77,46.52
26.94,23.71
22.10,7.07
27.91,10.05
26.01,33.29
23.22,8.36
21.17,18.63
26.13,33.45
27.46,61.51
27.06,30.31
22.18,31.94
20.71,33.14
24.56,17.68
28.28,54.30
26.57,11.69
26.86,11.82
29.59,85.22
20.25,14.58
26.47,9.53
28.64,73.32
26.31,29.47
24.93,35.90
27.09,19.50
20.18,7.26
25.82,33.05
23.71,8.54
20.63,26.41
20.80,13.31
21.07,8.43
26.39,8.44
21.87,34.99
21.68,24.28
25.99,49.90
22.93,22.01
28.56,41.13
26.17,37.68
25.60,18.43
22.98,18.38
23.25,8.37
28.33,24.93
29.16,55.99
26.36,21.09
24.85,39.76
23.22,52.01
24.25,46.56
25.80,8.26
21.24,6.80
26.55,38.23
20.58,52.68
24.40,9.76
24.27,31.07
24.18,30.95
29.24,23.39
26.54,33.97
21.37,17.10
25.26,18.19
23.31,29.84
25.34,8.11
27.66,12.17
25.72,28.81
20.58,13.17
23.45,52.53
20.24,51.81
26.23,9.44
23.82,53.36
20.60,14.83
25.01,72.03
24.60,23.62
23.21,37.14
25.40,36.58
21.89,7.00
28.87,9.24
23.17,51.90
26.70,11.75
21.16,30.47
24.19,15.48
25.38,32.49
23.05,7.38
26.12,33.43
22.50,50.40
29.63,10.67
24.56,55.01
20.46,26.19
21.58,31.08
27.79,35.57
20.51,7.38
24.66,17.76
24.78,8.92
28.92,83.29
21.89,49.03
20.13,28.99
24.84,27.82
28.45,40.97
25.50,28.56
29.53,10.63
23.22,20.43
22.96,51.43
24.82,39.71
24.02,9.61
23.99,17.27
20.45,8.18
21.14,7.61
20.45,14.72
27.63,44.21
21.02,13.45
26.36,18.98
21.09,40.49
25.85,8.27
20.82,13.32
28.56,82.25
20.90,15.05
21.16,27.08
27.69,70.89
20.92,13.39
27.78,10.00
24.40,31.23
26.76,10.70
26.89,51.63
23.21,10.21
24.64,10.84
25.34,24.33
29.10,37.25
25.54,18.39
27.71,62.07
23.71,17.07
21.85,7.87
23.56,16.96
27.88,8.92
21.19,7.63
24.82,10.92
24.74,47.50
25.61,57.37
25.49,18.35
22.09,49.48
24.71,21.74
25.36,9.13
21.24,33.98
23.06,25.83
22.35,28.61
29.28,56.22
27.74,53.26
29.52,37.79
26.06,50.04
27.61,61.85
24.24,31.03
25.02,16.01
28.09,24.72
21.80,48.83
23.38,29.93
27.44,10.98
26.20,9.43
26.97,8.63
24.08,30.82
26.01,49.94
21.25,27.20
20.05,17.64
20.73,33.17
27.83,10.02
26.85,60.14
26.43,42.29
20.14,25.78
23.73,53.16
21.47,18.89
23.39,9.36
29.66,18.98
22.29,49.93
26.62,59.63
20.59,9.06
22.17,49.66
24.30,54.43
28.27,20.35
26.49,67.81
20.92,18.41
20.81,53.27
24.95,31.94
20.23,45.32
20.15,14.51
24.98,8.99
22.80,65.66
28.33,10.20
23.79,8.56
22.22,16.00
24.75,15.84
23.07,29.53
23.20,25.98
23.72,53.13
25.07,64.18
24.58,55.06
28.35,22.68
25.26,28.29
28.43,9.10
25.59,28.66
25.69,9.25
21.04,6.73
24.52,9.81
26.87,19.35
26.24,18.89
27.67,30.99
29.98,38.37
20.09,14.46
24.49,39.18
26.22,58.73
20.16,45.16
28.87,64.67
28.45,22.76
21.15,27.07
24.31,31.12
26.40,8.45
23.13,51.81
28.21,45.14
27.08,9.75
20.69,46.35
25.14,9.05
26.73,34.21
24.16,10.63
23.45,37.52
21.49,27.51
25.57,9.21
22.61,16.28
21.11,40.53
20.01,6.40
23.06,29.52
23.96,10.54
20.53,14.78
25.38,56.85
22.95,7.34
20.15,32.24
29.11,23.29
20.81,23.31
29.83,38.18
29.16,37.32
23.46,9.38
20.88,9.19
21.93,7.02
22.91,51.32
24.36,8.77
24.42,17.58
20.21,17.78
28.03,10.09
29.98,9.59
23.53,16.94
24.38,17.55
21.69,13.88
20.21,12.93
22.88,8.24
24.02,38.43
25.56,73.61
28.24,63.26
23.49,67.65
20.44,26.16
23.23,26.02
29.63,10.67
23.24,14.87
23.93,15.32
25.50,48.96
21.54,27.57
27.08,39.00
29.05,83.66
25.50,32.64
21.29,6.81
20.45,16.36
24.96,27.96
26.70,34.18
22.92,51.34
28.97,46.35
23.01,22.09
20.19,7.27
24.22,8.72
28.07,26.95
22.59,14.46
20.57,8.23
25.66,32.84
20.26,14.59
20.64,7.43
20.02,32.03
25.20,18.14
22.40,50.18
23.20,44.54
21.83,19.21
24.46,31.31
26.50,8.48
24.20,38.72
23.81,68.57
24.88,17.91
24.61,47.25
22.40,57.34
29.28,10.54
29.46,9.43
26.35,21.08
28.29,12.45
29.46,28.28
22.05,56.45
29.23,65.48
21.94,49.15
24.08,8.67
26.85,60.14
25.64,22.56
23.20,59.39
22.19,7.99
24.44,8.80
28.47,25.05
20.13,14.49
29.53,21.26
20.64,6.60
23.11,16.64
22.81,8.21
21.11,6.76
27.28,39.28
20.93,6.70
27.73,12.20
22.33,42.87
25.25,9.09
23.59,52.84
23.42,74.94
22.01,8.80
25.88,33.13
23.69,15.16
26.07,33.37
28.18,10.14
26.30,16.83
21.67,7.80
25.12,48.23
25.80,24.77
24.31,70.01
20.65,6.61
20.32,6.50
22.91,16.50
20.10,45.02
28.29,31.68
25.19,56.43
20.32,6.50
25.21,18.15
28.33,31.73
25.00,9.00
29.87,23.90
24.54,70.68
24.07,8.67
23.00,7.36
24.31,21.39
23.48,16.91
20.24,38.86
23.71,60.70
23.56,7.54
27.19,69.61
27.87,31.21
23.92,53.58
25.43,56.96
21.30,47.71
25.49,22.43
25.36,56.81
26.22,37.76
21.79,7.84
25.12,32.15
27.67,12.17
26.51,9.54
20.98,7.55
21.44,17.15
27.83,12.25
27.28,61.11
25.16,18.12
26.28,29.43
24.79,35.70
24.83,31.78
20.55,29.59
25.63,57.41
22.08,28.26
28.52,9.13
24.38,17.55
29.19,37.36
25.00,32.00
28.42,10.23
24.75,63.36
28.58,64.02
27.49,52.78
29.06,25.57
21.49,27.51
22.27,28.51
23.49,52.62
21.65,31.18
22.15,15.95
20.34,52.07
26.80,9.65
20.92,23.43
23.24,52.06
24.22,10.66
23.03,51.59
24.63,8.87
27.45,21.96
23.03,58.96
24.52,21.58
21.84,48.92
29.97,11.99
22.84,32.89
25.12,18.09
22.47,8.09
23.11,16.64
21.41,41.11
23.06,14.76
20.88,46.77
23.40,11.23
20.42,14.70
26.73,17.11
26.32,8.42
22.27,35.63
24.03,69.21
25.16,28.18
24.90,8.96
23.21,37.14
28.53,54.78
24.44,35.19
22.69,18.15
24.73,31.65
25.52,16.33
27.82,8.90
23.57,60.34
21.54,48.25
20.35,14.65
25.03,40.05
21.90,28.03
25.70,8.22
23.89,61.16
22.62,9.05
24.28,69.93
28.56,25.13
25.20,8.06
27.59,52.97
20.36,26.06
20.23,45.32
29.00,64.96
21.33,6.83
22.26,42.74
20.10,45.02
22.18,28.39
27.70,9.97
22.49,9.00
23.70,11.38
21.10,18.57
23.12,25.89
28.28,20.36
29.52,21.25
25.73,18.53
21.98,24.62
27.53,19.82
21.26,7.65
27.83,20.04
25.60,18.43
25.84,22.74
23.48,15.03
21.92,28.06
25.75,10.30
24.10,69.41
21.00,13.44
23.98,38.37
27.93,62.56
29.90,38.27
22.26,49.86
26.75,29.96
21.34,40.97
29.15,37.31
20.96,16.77
24.75,71.28
23.20,9.28
26.91,19.38
25.19,18.14
21.76,27.85
22.49,64.77
24.48,47.00
22.85,16.45
24.73,47.48
29.67,21.36
27.97,17.90
21.78,15.68
28.39,10.22
28.02,8.97
29.46,21.21
26.95,21.56
25.42,40.67
20.40,45.70
27.35,17.50
24.48,8.81
22.88,36.61
25.63,32.81
23.26,29.77
24.96,8.99
24.28,8.74
24.81,35.73
20.77,7.48
21.35,6.83
26.90,19.37
26.47,8.47
28.50,10.26
27.25,52.32
27.40,19.73
28.17,20.28
22.06,7.06
20.99,13.43
22.49,25.19
22.50,8.10
22.97,16.54
20.01,7.20
25.53,10.21
28.87,32.33
25.25,9.09
22.16,49.64
23.66,26.50
28.36,10.21
24.68,8.88
21.93,49.12
28.78,41.44
24.80,8.93
20.23,6.47
22.42,7.17
24.88,9.95
25.42,9.15
25.66,11.29
26.53,46.69
27.02,9.73
22.39,42.99
27.84,35.64
20.33,8.13
22.73,18.18
25.58,16.37
26.80,42.88
24.59,9.84
27.59,11.04
21.97,15.82
20.92,9.20
28.62,36.63
23.19,51.95
20.56,8.22
22.72,58.16
21.03,18.51
20.75,39.84
28.01,35.85
24.68,47.39
22.25,28.48
27.81,20.02
24.76,8.91
26.23,10.49
26.30,21.04
21.06,15.16
21.19,7.63
29.18,65.36
27.54,70.50
24.92,8.97
22.33,25.01
29.90,76.54
22.99,7.36
22.66,8.16
21.98,49.24
24.63,15.76
21.92,49.10
24.03,38.45
24.14,54.07
21.40,15.41
29.16,65.32
26.97,69.04
24.93,17.95
24.47,31.32
28.36,31.76
20.93,15.07
29.71,23.77
22.01,42.26
25.92,58.06
21.67,7.80
21.95,15.80
21.31,47.73
23.10,16.63
21.86,7.87
24.13,46.33
22.42,8.97
24.17,46.41
29.45,65.97
27.20,8.70
20.07,14.45
20.93,18.42
20.54,16.43
22.43,32.30
24.51,70.59
20.57,32.91
20.72,16.58
29.48,18.87
29.80,10.73
28.51,20.53
29.08,25.59
21.58,6.91
28.17,36.06
26.75,10.70
29.81,85.85
24.15,15.46
20.89,33.42
23.12,25.89
24.14,27.04
23.65,8.51
26.15,37.66
24.91,7.97
25.06,18.04
21.85,17.48
21.89,24.52
29.35,23.48
24.67,31.58
27.76,24.43
28.57,64.00
26.96,34.51
24.64,27.60
20.34,6.51
25.59,49.13
22.13,63.73
28.10,8.99
21.35,7.69
25.60,8.19
20.60,14.83
20.07,28.90
25.49,28.55
20.03,25.64
25.93,29.04
28.27,12.44
28.82,25.36
21.57,8.63
22.03,7.93
22.48,43.16
28.88,55.45
20.76,46.50
26.34,59.00
23.81,17.14
25.13,18.09
22.96,66.12
27.29,19.65
28.43,20.47
24.04,7.69
26.79,23.58
29.50,10.62
28.69,36.72
29.42,10.59
26.96,8.63
29.97,86.31
20.63,16.50
29.30,25.78
27.91,10.05
29.41,65.88
28.00,20.16
24.83,55.62
24.58,27.53
25.99,58.22
20.92,16.74
28.71,32.16
25.74,18.53
20.40,26.11
24.22,38.75
20.70,6.62
22.77,9.11
27.52,52.84
28.74,10.35
22.96,51.43
26.94,11.85
27.16,9.78
25.51,18.37
21.59,15.54
20.77,14.95
25.67,8.21
26.07,33.37
25.38,48.73
21.80,7.85
28.31,10.19
24.43,15.64
20.23,6.47
27.17,19.56
23.59,30.20
24.93,17.95
28.55,20.56
20.53,52.56
20.66,26.44
28.37,12.48
26.09,18.78
26.87,9.67
22.49,8.10
22.52,16.21
27.06,19.48
29.14,32.64
20.36,7.33
23.65,20.81
21.05,53.89
25.78,57.75
21.37,9.40
20.45,8.18
24.66,55.24
23.43,10.31
29.39,10.58
27.99,26.87
22.92,51.34
21.73,48.68
25.08,32.10
22.09,35.34
23.53,7.53
21.06,16.85
25.80,11.35
20.39,14.68
26.45,8.46
28.31,20.38
25.82,33.05
28.18,10.14
24.54,17.67
22.06,35.30
21.34,7.68
28.91,37.00
28.40,20.45
25.64,22.56
21.58,8.63
28.44,40.95
24.94,47.88
28.30,10.19
21.50,27.52
22.65,19.93
27.06,60.61
29.76,66.66
27.87,10.03
23.64,26.48
28.12,31.49
29.09,65.16
25.71,9.26
22.18,14.20
26.62,17.04
27.90,35.71
20.02,8.81
21.66,13.86
24.02,17.29
23.42,8.43
28.74,9.20
20.18,29.06
20.53,14.78
21.60,7.78
27.14,60.79
20.70,18.22
20.11,7.24
27.20,52.22
21.83,27.94
29.64,9.48
27.64,39.80
28.80,64.51
21.30,10.22
25.01,18.01
26.98,19.43
26.64,51.15
22.01,49.30
25.46,9.17
29.53,37.80
29.47,47.15
21.46,41.20
23.48,26.30
22.97,58.80
24.18,30.95
22.71,16.35
25.76,22.67
26.00,83.20
29.70,10.69
22.63,8.15
23.91,19.13
26.56,42.50
25.87,9.31
24.20,17.42
26.79,9.64
26.25,58.80
28.45,63.73
25.83,11.37
20.16,14.52
27.40,61.38
26.25,58.80
20.18,38.75
29.72,66.57
28.13,22.50
25.94,9.34
21.08,47.22
29.79,38.13
28.16,54.07
25.04,32.05
23.48,8.45
28.77,10.36
29.43,37.67
24.18,7.74
26.80,30.02
22.18,14.20
21.92,42.09
21.14,7.61
21.32,17.06
25.03,56.07
26.43,19.03
22.71,29.07
22.94,51.39
29.82,57.25
24.14,7.72
20.42,58.81
25.82,33.05
23.79,19.03
20.46,14.73
24.14,9.66
28.39,10.22
22.87,8.23
23.45,16.88
22.78,25.51
28.41,20.46
28.92,11.57
23.65,30.27
26.86,19.34
22.05,28.22
25.07,18.05
22.01,17.61
26.60,68.10
27.31,52.44
28.89,46.22
22.48,43.16
23.71,30.35
24.18,15.48
27.83,80.15
22.81,20.07
22.31,7.14
23.35,52.30
25.44,32.56
26.62,10.65
22.16,15.96
24.15,17.39
24.53,21.59
24.18,38.69
20.70,9.11
28.68,20.65
20.68,7.44
28.74,10.35
27.73,39.93
23.44,15.00
23.19,59.37
22.62,16.29
22.45,8.98
24.47,54.81
29.31,56.28
27.92,12.28
27.06,9.74
24.99,35.99
22.74,9.10
24.50,54.88
20.27,29.19
23.23,52.04
20.58,7.41
20.80,39.94
26.83,51.51
25.06,9.02
26.77,34.27
20.76,7.47
27.99,44.78
28.08,44.93
23.84,53.40
26.70,51.26
26.58,8.51
21.90,15.77
22.81,65.69
23.98,53.72
27.86,31.20
26.04,66.66
23.89,53.51
27.91,53.59
21.48,15.47
21.05,15.16
28.00,35.84
21.66,34.66
24.24,38.78
28.97,20.86
28.64,64.15
24.34,70.10
25.35,18.25
23.63,30.25
26.71,8.55
25.31,56.69
20.62,26.39
25.95,18.68
23.03,58.96
20.14,58.00
21.29,27.25
24.87,47.75
29.50,37.76
22.70,29.06
22.59,50.60
26.40,59.14
29.01,20.89
29.27,18.73
29.37,65.79
23.64,52.95
23.29,52.17
21.30,8.52
22.32,8.93
20.58,59.27
21.93,28.07
25.89,33.14
20.15,14.51
21.09,15.18
20.49,13.11
22.64,16.30
26.96,69.02
28.44,36.40
25.48,8.15
28.21,20.31
28.32,49.84
28.88,10.40
22.50,7.20
24.65,8.87
23.73,15.19
21.00,6.72
28.81,55.32
20.90,15.05
21.15,15.23
22.23,24.90
20.43,6.54
26.17,18.84
21.84,17.47
24.34,17.52
29.84,66.84
27.91,31.26
22.75,32.76
28.21,11.28
23.01,7.36
26.58,10.63
28.89,64.71
21.83,48.90
22.58,43.35
23.30,9.32
23.98,30.69
25.18,16.12
27.89,20.08
23.71,68.28
24.10,30.85
23.41,41.20
26.13,29.27
28.55,36.54
25.66,32.84
20.97,26.84
20.75,59.76
23.60,37.76
24.58,31.46
24.65,47.33
25.25,48.48
25.30,64.77
23.11,8.32
25.23,18.17
26.04,22.92
24.43,17.59
29.76,19.05
27.05,11.90
22.75,14.56
21.83,7.86
29.80,66.75
24.30,7.78
22.10,24.75
27.23,11.98
23.65,7.57
23.23,52.04
21.41,54.81
20.61,9.89
24.18,17.41
28.16,12.39
26.92,30.15
21.87,17.50
23.36,67.28
24.38,31.21
25.13,56.29
22.76,25.49
23.81,8.57
23.48,20.66
28.67,25.23
26.20,9.43
29.02,65.00
27.61,61.85
21.89,7.00
29.12,20.97
